section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,TX-06,house,Democratic candidate (TX-06),Republican candidate (TX-06),-16.36,5.7,94.3,Likely R,90701,126177,0,216878.0,41.82,58.18,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,-20.01,5.32,False,-17.57,48.1,-0.6,,,,,,,,,,,
demographic,,,,,,,,,31884,76800,0,,29.3,70.7,0.0,,,0.0,0,,,,,,,,,,,,,race,White,50.11,108684.0,,,,,,,
demographic,,,,,,,,,20787,6805,0,,75.3,24.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,12.72,27592.0,,,,,,,
demographic,,,,,,,,,28614,31834,0,,47.3,52.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,27.87,60448.0,,,,,,,
demographic,,,,,,,,,6215,6383,0,,49.3,50.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,5.81,12598.0,,,,,,,
demographic,,,,,,,,,2882,3926,0,,42.3,57.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,3.14,6808.0,,,,,,,
demographic,,,,,,,,,316,431,0,,42.3,57.7,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.34,747.0,,,,,,,
demographic,,,,,,,,,20546,21829,0,,48.5,51.5,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,19.54,42375.0,,,,,,,
demographic,,,,,,,,,18533,22211,0,,45.5,54.5,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,18.79,40744.0,,,,,,,
demographic,,,,,,,,,16565,24350,0,,40.5,59.5,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,18.87,40915.0,,,,,,,
demographic,,,,,,,,,14001,23348,0,,37.5,62.5,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,17.22,37348.0,,,,,,,
demographic,,,,,,,,,11416,19037,0,,37.5,62.5,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,14.04,30453.0,,,,,,,
demographic,,,,,,,,,6605,10557,0,,38.5,61.5,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,7.91,17163.0,,,,,,,
demographic,,,,,,,,,3032,4847,0,,38.5,61.5,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,3.63,7879.0,,,,,,,
demographic,,,,,,,,,13946,19142,0,,42.1,57.9,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,15.26,33088.0,,,,,,,
demographic,,,,,,,,,20558,34783,0,,37.1,62.9,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,25.52,55340.0,,,,,,,
demographic,,,,,,,,,18492,28745,0,,39.1,60.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,21.78,47237.0,,,,,,,
demographic,,,,,,,,,6837,10192,0,,40.1,59.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,7.85,17029.0,,,,,,,
demographic,,,,,,,,,19943,23273,0,,46.1,53.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,19.93,43216.0,,,,,,,
demographic,,,,,,,,,8704,7987,0,,52.1,47.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,7.7,16691.0,,,,,,,
demographic,,,,,,,,,1206,1199,0,,50.1,49.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Professional,1.11,2405.0,,,,,,,
demographic,,,,,,,,,1013,858,0,,54.1,45.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Doctorate,0.86,1871.0,,,,,,,
demographic,,,,,,,,,3460,3891,0,,47.1,52.9,0.0,,,0.0,0,,,,,,,,,,,,,income,<$10k,3.39,7351.0,,,,,,,
demographic,,,,,,,,,2624,3072,0,,46.1,53.9,0.0,,,0.0,0,,,,,,,,,,,,,income,$10-15k,2.63,5696.0,,,,,,,
