date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-16.65,5.6,94.4,Likely R,-18.98,3.11,-16.65,-22.66,6.01,41.68,58.32,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,41012,182538,0,-18.24,0.53,49.9,3.3,28.5,74.5,46.5,48.5,41.5,41.5,48.6,45.6,40.6,37.6,37.6,38.6,38.6,40.7,35.7,37.7,38.7,44.7,50.7,48.7,52.7,46.8,45.8,45.8,44.8,43.8,42.8,41.8,40.8,40.8,39.8,39.8,39.8,40.8,40.8,41.8,42.8
2026-01-02,305,-16.65,5.6,94.4,Likely R,-18.98,3.11,-16.65,-22.66,6.01,41.68,58.32,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,41012,182538,0,-18.24,0.53,49.9,3.3,28.5,74.5,46.5,48.5,41.5,41.5,48.6,45.6,40.6,37.6,37.6,38.6,38.6,40.7,35.7,37.7,38.7,44.7,50.7,48.7,52.7,46.8,45.8,45.8,44.8,43.8,42.8,41.8,40.8,40.8,39.8,39.8,39.8,40.8,40.8,41.8,42.8
2026-01-03,304,-16.65,5.6,94.4,Likely R,-18.98,3.11,-16.65,-22.66,6.01,41.68,58.32,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,41012,182538,0,-18.24,0.53,49.9,3.3,28.5,74.5,46.5,48.5,41.5,41.5,48.6,45.6,40.6,37.6,37.6,38.6,38.6,40.7,35.7,37.7,38.7,44.7,50.7,48.7,52.7,46.8,45.8,45.8,44.8,43.8,42.8,41.8,40.8,40.8,39.8,39.8,39.8,40.8,40.8,41.8,42.8
2026-01-04,303,-16.74,5.5,94.5,Likely R,-19.01,3.04,-16.74,-22.66,5.92,41.63,58.37,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,41012,182538,0,-18.31,0.53,50.1,3.6,28.5,74.5,46.5,48.5,41.5,41.5,48.5,45.5,40.5,37.5,37.5,38.5,38.5,40.7,35.7,37.7,38.7,44.7,50.7,48.7,52.7,46.7,45.7,45.7,44.7,43.7,42.7,41.7,40.7,40.7,39.7,39.7,39.7,40.7,40.7,41.7,42.7
2026-01-05,302,-16.69,5.6,94.4,Likely R,-19.0,3.08,-16.69,-22.66,5.97,41.66,58.34,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,41012,182538,0,-18.27,0.53,50.1,3.5,28.5,74.5,46.5,48.5,41.5,41.5,48.6,45.6,40.6,37.6,37.6,38.6,38.6,40.7,35.7,37.7,38.7,44.7,50.7,48.7,52.7,46.8,45.8,45.8,44.8,43.8,42.8,41.8,40.8,40.8,39.8,39.8,39.8,40.8,40.8,41.8,42.8
2026-01-06,301,-16.69,5.6,94.4,Likely R,-19.0,3.08,-16.69,-22.66,5.97,41.66,58.34,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,41012,182538,0,-18.27,0.53,50.1,3.5,28.5,74.5,46.5,48.5,41.5,41.5,48.6,45.6,40.6,37.6,37.6,38.6,38.6,40.7,35.7,37.7,38.7,44.7,50.7,48.7,52.7,46.8,45.8,45.8,44.8,43.8,42.8,41.8,40.8,40.8,39.8,39.8,39.8,40.8,40.8,41.8,42.8
2026-01-07,300,-16.69,5.6,94.4,Likely R,-19.0,3.08,-16.69,-22.66,5.97,41.66,58.34,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,41012,182538,0,-18.27,0.53,50.0,3.4,28.5,74.5,46.5,48.5,41.5,41.5,48.6,45.6,40.6,37.6,37.6,38.6,38.6,40.7,35.7,37.7,38.7,44.7,50.7,48.7,52.7,46.8,45.8,45.8,44.8,43.8,42.8,41.8,40.8,40.8,39.8,39.8,39.8,40.8,40.8,41.8,42.8
2026-01-08,299,-16.69,5.6,94.4,Likely R,-19.0,3.08,-16.69,-22.66,5.97,41.66,58.34,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,41012,182538,0,-18.27,0.53,50.1,3.5,28.5,74.5,46.5,48.5,41.5,41.5,48.6,45.6,40.6,37.6,37.6,38.6,38.6,40.7,35.7,37.7,38.7,44.7,50.7,48.7,52.7,46.8,45.8,45.8,44.8,43.8,42.8,41.8,40.8,40.8,39.8,39.8,39.8,40.8,40.8,41.8,42.8
2026-01-09,298,-16.67,5.6,94.4,Likely R,-18.99,3.09,-16.67,-22.66,5.98,41.66,58.34,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,41012,182538,0,-18.26,0.53,50.0,3.5,28.5,74.5,46.5,48.5,41.5,41.5,48.6,45.6,40.6,37.6,37.6,38.6,38.6,40.7,35.7,37.7,38.7,44.7,50.7,48.7,52.7,46.8,45.8,45.8,44.8,43.8,42.8,41.8,40.8,40.8,39.8,39.8,39.8,40.8,40.8,41.8,42.8
2026-01-10,297,-16.67,5.6,94.4,Likely R,-18.99,3.09,-16.67,-22.66,5.98,41.66,58.34,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,41012,182538,0,-18.26,0.53,50.0,3.5,28.5,74.5,46.5,48.5,41.5,41.5,48.6,45.6,40.6,37.6,37.6,38.6,38.6,40.7,35.7,37.7,38.7,44.7,50.7,48.7,52.7,46.8,45.8,45.8,44.8,43.8,42.8,41.8,40.8,40.8,39.8,39.8,39.8,40.8,40.8,41.8,42.8
