date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-12.74,11.2,88.8,Likely R,-14.25,3.18,-12.74,-16.39,3.65,43.63,56.37,0.0,False,False,,,,0.0,0.0,0.0,-12.99,48.4,0.2,34.7,80.7,52.7,54.7,47.7,47.7,50.6,47.6,42.6,39.6,39.6,40.6,40.6,42.0,37.0,39.0,40.0,46.0,52.0,50.0,54.0,48.8,47.8,47.8,46.8,45.8,44.8,43.8,42.8,42.8,41.8,41.8,41.8,42.8,42.8,43.8,44.8
2026-01-02,305,-12.74,11.2,88.8,Likely R,-14.25,3.18,-12.74,-16.39,3.65,43.63,56.37,0.0,False,False,,,,0.0,0.0,0.0,-12.99,48.4,0.2,34.7,80.7,52.7,54.7,47.7,47.7,50.6,47.6,42.6,39.6,39.6,40.6,40.6,42.0,37.0,39.0,40.0,46.0,52.0,50.0,54.0,48.8,47.8,47.8,46.8,45.8,44.8,43.8,42.8,42.8,41.8,41.8,41.8,42.8,42.8,43.8,44.8
2026-01-03,304,-12.72,11.2,88.8,Likely R,-14.24,3.19,-12.72,-16.39,3.67,43.64,56.36,0.0,False,False,,,,0.0,0.0,0.0,-12.98,48.4,0.2,34.8,80.8,52.8,54.8,47.8,47.8,50.6,47.6,42.6,39.6,39.6,40.6,40.6,42.0,37.0,39.0,40.0,46.0,52.0,50.0,54.0,48.8,47.8,47.8,46.8,45.8,44.8,43.8,42.8,42.8,41.8,41.8,41.8,42.8,42.8,43.8,44.8
2026-01-04,303,-12.81,11.1,88.9,Likely R,-14.27,3.13,-12.81,-16.39,3.58,43.6,56.4,0.0,False,False,,,,0.0,0.0,0.0,-13.04,48.5,0.5,34.7,80.7,52.7,54.7,47.7,47.7,50.6,47.6,42.6,39.6,39.6,40.6,40.6,41.9,36.9,38.9,39.9,45.9,51.9,49.9,53.9,48.8,47.8,47.8,46.8,45.8,44.8,43.8,42.8,42.8,41.8,41.8,41.8,42.8,42.8,43.8,44.8
2026-01-05,302,-12.75,11.2,88.8,Likely R,-14.25,3.17,-12.75,-16.39,3.64,43.62,56.38,0.0,False,False,,,,0.0,0.0,0.0,-13.0,48.5,0.4,34.7,80.7,52.7,54.7,47.7,47.7,50.6,47.6,42.6,39.6,39.6,40.6,40.6,41.9,36.9,38.9,39.9,45.9,51.9,49.9,53.9,48.8,47.8,47.8,46.8,45.8,44.8,43.8,42.8,42.8,41.8,41.8,41.8,42.8,42.8,43.8,44.8
2026-01-06,301,-12.75,11.2,88.8,Likely R,-14.25,3.17,-12.75,-16.39,3.64,43.62,56.38,0.0,False,False,,,,0.0,0.0,0.0,-13.0,48.5,0.4,34.7,80.7,52.7,54.7,47.7,47.7,50.6,47.6,42.6,39.6,39.6,40.6,40.6,41.9,36.9,38.9,39.9,45.9,51.9,49.9,53.9,48.8,47.8,47.8,46.8,45.8,44.8,43.8,42.8,42.8,41.8,41.8,41.8,42.8,42.8,43.8,44.8
2026-01-07,300,-12.75,11.2,88.8,Likely R,-14.25,3.17,-12.75,-16.39,3.64,43.62,56.38,0.0,False,False,,,,0.0,0.0,0.0,-13.0,48.5,0.3,34.7,80.7,52.7,54.7,47.7,47.7,50.6,47.6,42.6,39.6,39.6,40.6,40.6,41.9,36.9,38.9,39.9,45.9,51.9,49.9,53.9,48.8,47.8,47.8,46.8,45.8,44.8,43.8,42.8,42.8,41.8,41.8,41.8,42.8,42.8,43.8,44.8
2026-01-08,299,-12.75,11.2,88.8,Likely R,-14.25,3.17,-12.75,-16.39,3.64,43.62,56.38,0.0,False,False,,,,0.0,0.0,0.0,-13.0,48.5,0.4,34.7,80.7,52.7,54.7,47.7,47.7,50.6,47.6,42.6,39.6,39.6,40.6,40.6,41.9,36.9,38.9,39.9,45.9,51.9,49.9,53.9,48.8,47.8,47.8,46.8,45.8,44.8,43.8,42.8,42.8,41.8,41.8,41.8,42.8,42.8,43.8,44.8
2026-01-09,298,-12.75,11.2,88.8,Likely R,-14.25,3.17,-12.75,-16.39,3.64,43.62,56.38,0.0,False,False,,,,0.0,0.0,0.0,-13.0,48.5,0.4,34.7,80.7,52.7,54.7,47.7,47.7,50.6,47.6,42.6,39.6,39.6,40.6,40.6,41.9,36.9,38.9,39.9,45.9,51.9,49.9,53.9,48.8,47.8,47.8,46.8,45.8,44.8,43.8,42.8,42.8,41.8,41.8,41.8,42.8,42.8,43.8,44.8
2026-01-10,297,-12.75,11.2,88.8,Likely R,-14.25,3.17,-12.75,-16.39,3.64,43.62,56.38,0.0,False,False,,,,0.0,0.0,0.0,-13.0,48.5,0.4,34.7,80.7,52.7,54.7,47.7,47.7,50.6,47.6,42.6,39.6,39.6,40.6,40.6,41.9,36.9,38.9,39.9,45.9,51.9,49.9,53.9,48.8,47.8,47.8,46.8,45.8,44.8,43.8,42.8,42.8,41.8,41.8,41.8,42.8,42.8,43.8,44.8
