date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,41.57,100.0,0.0,Safe D,36.73,3.18,41.57,30.84,10.73,70.79,29.21,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,35.51,-2.13,24.6,-47.3,47.7,93.7,65.7,67.7,60.7,60.7,76.9,73.9,68.9,65.9,65.9,66.9,66.9,71.9,66.9,68.9,69.9,75.9,81.9,79.9,83.9,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-02,305,41.57,100.0,0.0,Safe D,36.73,3.18,41.57,30.84,10.73,70.79,29.21,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,35.51,-2.13,24.6,-47.3,47.7,93.7,65.7,67.7,60.7,60.7,76.9,73.9,68.9,65.9,65.9,66.9,66.9,71.9,66.9,68.9,69.9,75.9,81.9,79.9,83.9,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-03,304,41.59,100.0,0.0,Safe D,36.73,3.19,41.59,30.84,10.74,70.79,29.21,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,35.52,-2.13,24.6,-47.3,47.7,93.7,65.7,67.7,60.7,60.7,76.9,73.9,68.9,65.9,65.9,66.9,66.9,71.9,66.9,68.9,69.9,75.9,81.9,79.9,83.9,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-04,303,41.51,100.0,0.0,Safe D,36.71,3.13,41.51,30.84,10.66,70.75,29.25,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,35.46,-2.13,24.7,-47.1,47.7,93.7,65.7,67.7,60.7,60.7,76.8,73.8,68.8,65.8,65.8,66.8,66.8,71.9,66.9,68.9,69.9,75.9,81.9,79.9,83.9,75.4,74.4,74.4,73.4,72.4,71.4,70.4,69.4,69.4,68.4,68.4,68.4,69.4,69.4,70.4,71.4
2026-01-05,302,41.56,100.0,0.0,Safe D,36.73,3.17,41.56,30.84,10.72,70.78,29.22,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,35.5,-2.13,24.7,-47.1,47.7,93.7,65.7,67.7,60.7,60.7,76.9,73.9,68.9,65.9,65.9,66.9,66.9,71.9,66.9,68.9,69.9,75.9,81.9,79.9,83.9,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-06,301,41.56,100.0,0.0,Safe D,36.73,3.17,41.56,30.84,10.72,70.78,29.22,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,35.5,-2.13,24.7,-47.1,47.7,93.7,65.7,67.7,60.7,60.7,76.9,73.9,68.9,65.9,65.9,66.9,66.9,71.9,66.9,68.9,69.9,75.9,81.9,79.9,83.9,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-07,300,41.56,100.0,0.0,Safe D,36.73,3.17,41.56,30.84,10.72,70.78,29.22,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,35.5,-2.13,24.7,-47.2,47.7,93.7,65.7,67.7,60.7,60.7,76.9,73.9,68.9,65.9,65.9,66.9,66.9,71.9,66.9,68.9,69.9,75.9,81.9,79.9,83.9,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-08,299,41.56,100.0,0.0,Safe D,36.73,3.17,41.56,30.84,10.72,70.78,29.22,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,35.5,-2.13,24.7,-47.2,47.7,93.7,65.7,67.7,60.7,60.7,76.9,73.9,68.9,65.9,65.9,66.9,66.9,71.9,66.9,68.9,69.9,75.9,81.9,79.9,83.9,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-09,298,41.56,100.0,0.0,Safe D,36.73,3.17,41.56,30.84,10.72,70.78,29.22,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,35.5,-2.13,24.7,-47.2,47.7,93.7,65.7,67.7,60.7,60.7,76.9,73.9,68.9,65.9,65.9,66.9,66.9,71.9,66.9,68.9,69.9,75.9,81.9,79.9,83.9,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
2026-01-10,297,41.56,100.0,0.0,Safe D,36.73,3.17,41.56,30.84,10.72,70.78,29.22,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,35.5,-2.13,24.7,-47.2,47.7,93.7,65.7,67.7,60.7,60.7,76.9,73.9,68.9,65.9,65.9,66.9,66.9,71.9,66.9,68.9,69.9,75.9,81.9,79.9,83.9,75.5,74.5,74.5,73.5,72.5,71.5,70.5,69.5,69.5,68.5,68.5,68.5,69.5,69.5,70.5,71.5
