date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,31.84,99.9,0.1,Safe D,25.11,3.18,31.84,24.33,7.51,65.92,34.08,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,28.49,0.2,30.6,-35.4,59.1,98.0,77.1,79.1,72.1,72.1,71.9,68.9,63.9,60.9,60.9,61.9,61.9,65.7,60.7,62.7,63.7,69.7,75.7,73.7,77.7,71.2,70.2,70.2,69.2,68.2,67.2,66.2,65.2,65.2,64.2,64.2,64.2,65.2,65.2,66.2,67.2
2026-01-02,305,31.84,99.9,0.1,Safe D,25.11,3.18,31.84,24.33,7.51,65.92,34.08,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,28.49,0.2,30.6,-35.4,59.1,98.0,77.1,79.1,72.1,72.1,71.9,68.9,63.9,60.9,60.9,61.9,61.9,65.7,60.7,62.7,63.7,69.7,75.7,73.7,77.7,71.2,70.2,70.2,69.2,68.2,67.2,66.2,65.2,65.2,64.2,64.2,64.2,65.2,65.2,66.2,67.2
2026-01-03,304,31.85,99.9,0.1,Safe D,25.11,3.19,31.85,24.33,7.52,65.92,34.08,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,28.5,0.2,30.6,-35.4,59.1,98.0,77.1,79.1,72.1,72.1,71.9,68.9,63.9,60.9,60.9,61.9,61.9,65.7,60.7,62.7,63.7,69.7,75.7,73.7,77.7,71.2,70.2,70.2,69.2,68.2,67.2,66.2,65.2,65.2,64.2,64.2,64.2,65.2,65.2,66.2,67.2
2026-01-04,303,31.79,99.9,0.1,Safe D,25.11,3.13,31.79,24.33,7.46,65.89,34.11,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,28.44,0.2,30.7,-35.1,59.0,98.0,77.0,79.0,72.0,72.0,71.9,68.9,63.9,60.9,60.9,61.9,61.9,65.7,60.7,62.7,63.7,69.7,75.7,73.7,77.7,71.1,70.1,70.1,69.1,68.1,67.1,66.1,65.1,65.1,64.1,64.1,64.1,65.1,65.1,66.1,67.1
2026-01-05,302,31.83,99.9,0.1,Safe D,25.11,3.17,31.83,24.33,7.5,65.91,34.09,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,28.48,0.2,30.7,-35.2,59.1,98.0,77.1,79.1,72.1,72.1,71.9,68.9,63.9,60.9,60.9,61.9,61.9,65.7,60.7,62.7,63.7,69.7,75.7,73.7,77.7,71.2,70.2,70.2,69.2,68.2,67.2,66.2,65.2,65.2,64.2,64.2,64.2,65.2,65.2,66.2,67.2
2026-01-06,301,31.83,99.9,0.1,Safe D,25.11,3.17,31.83,24.33,7.5,65.91,34.09,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,28.48,0.2,30.7,-35.2,59.1,98.0,77.1,79.1,72.1,72.1,71.9,68.9,63.9,60.9,60.9,61.9,61.9,65.7,60.7,62.7,63.7,69.7,75.7,73.7,77.7,71.2,70.2,70.2,69.2,68.2,67.2,66.2,65.2,65.2,64.2,64.2,64.2,65.2,65.2,66.2,67.2
2026-01-07,300,31.83,99.9,0.1,Safe D,25.11,3.17,31.83,24.33,7.5,65.91,34.09,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,28.48,0.2,30.7,-35.3,59.1,98.0,77.1,79.1,72.1,72.1,71.9,68.9,63.9,60.9,60.9,61.9,61.9,65.7,60.7,62.7,63.7,69.7,75.7,73.7,77.7,71.2,70.2,70.2,69.2,68.2,67.2,66.2,65.2,65.2,64.2,64.2,64.2,65.2,65.2,66.2,67.2
2026-01-08,299,31.83,99.9,0.1,Safe D,25.11,3.17,31.83,24.33,7.5,65.91,34.09,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,28.48,0.2,30.7,-35.3,59.1,98.0,77.1,79.1,72.1,72.1,71.9,68.9,63.9,60.9,60.9,61.9,61.9,65.7,60.7,62.7,63.7,69.7,75.7,73.7,77.7,71.2,70.2,70.2,69.2,68.2,67.2,66.2,65.2,65.2,64.2,64.2,64.2,65.2,65.2,66.2,67.2
2026-01-09,298,31.83,99.9,0.1,Safe D,25.11,3.17,31.83,24.33,7.5,65.91,34.09,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,28.48,0.2,30.7,-35.3,59.1,98.0,77.1,79.1,72.1,72.1,71.9,68.9,63.9,60.9,60.9,61.9,61.9,65.7,60.7,62.7,63.7,69.7,75.7,73.7,77.7,71.2,70.2,70.2,69.2,68.2,67.2,66.2,65.2,65.2,64.2,64.2,64.2,65.2,65.2,66.2,67.2
2026-01-10,297,31.83,99.9,0.1,Safe D,25.11,3.17,31.83,24.33,7.5,65.91,34.09,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,28.48,0.2,30.7,-35.3,59.1,98.0,77.1,79.1,72.1,72.1,71.9,68.9,63.9,60.9,60.9,61.9,61.9,65.7,60.7,62.7,63.7,69.7,75.7,73.7,77.7,71.2,70.2,70.2,69.2,68.2,67.2,66.2,65.2,65.2,64.2,64.2,64.2,65.2,65.2,66.2,67.2
