date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,3.19,62.0,38.0,Lean D,2.52,3.11,3.19,-0.27,3.46,51.6,48.4,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2868163,4746033,0,2.73,-0.4,42.5,-11.7,37.9,83.9,55.9,57.9,50.9,50.9,58.5,55.5,50.5,47.5,47.5,48.5,48.5,51.3,46.3,48.3,49.3,55.3,61.3,59.3,63.3,56.8,55.8,55.8,54.8,53.8,52.8,51.8,50.8,50.8,49.8,49.8,49.8,50.8,50.8,51.8,52.8
2026-01-02,305,3.19,62.0,38.0,Lean D,2.52,3.11,3.19,-0.27,3.46,51.6,48.4,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2868163,4746033,0,2.73,-0.4,42.5,-11.7,37.9,83.9,55.9,57.9,50.9,50.9,58.5,55.5,50.5,47.5,47.5,48.5,48.5,51.3,46.3,48.3,49.3,55.3,61.3,59.3,63.3,56.8,55.8,55.8,54.8,53.8,52.8,51.8,50.8,50.8,49.8,49.8,49.8,50.8,50.8,51.8,52.8
2026-01-03,304,3.19,62.0,38.0,Lean D,2.52,3.11,3.19,-0.27,3.46,51.6,48.4,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2868163,4746033,0,2.73,-0.4,42.5,-11.7,37.9,83.9,55.9,57.9,50.9,50.9,58.5,55.5,50.5,47.5,47.5,48.5,48.5,51.3,46.3,48.3,49.3,55.3,61.3,59.3,63.3,56.8,55.8,55.8,54.8,53.8,52.8,51.8,50.8,50.8,49.8,49.8,49.8,50.8,50.8,51.8,52.8
2026-01-04,303,3.11,61.7,38.3,Lean D,2.51,3.04,3.11,-0.27,3.37,51.55,48.45,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2868163,4746033,0,2.66,-0.4,42.6,-11.4,37.8,83.8,55.8,57.8,50.8,50.8,58.5,55.5,50.5,47.5,47.5,48.5,48.5,51.2,46.2,48.2,49.2,55.2,61.2,59.2,63.2,56.8,55.8,55.8,54.8,53.8,52.8,51.8,50.8,50.8,49.8,49.8,49.8,50.8,50.8,51.8,52.8
2026-01-05,302,3.16,61.8,38.2,Lean D,2.52,3.08,3.16,-0.27,3.42,51.58,48.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2868163,4746033,0,2.7,-0.4,42.6,-11.4,37.8,83.8,55.8,57.8,50.8,50.8,58.5,55.5,50.5,47.5,47.5,48.5,48.5,51.3,46.3,48.3,49.3,55.3,61.3,59.3,63.3,56.8,55.8,55.8,54.8,53.8,52.8,51.8,50.8,50.8,49.8,49.8,49.8,50.8,50.8,51.8,52.8
2026-01-06,301,3.16,61.8,38.2,Lean D,2.52,3.08,3.16,-0.27,3.42,51.58,48.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2868163,4746033,0,2.7,-0.4,42.6,-11.4,37.8,83.8,55.8,57.8,50.8,50.8,58.5,55.5,50.5,47.5,47.5,48.5,48.5,51.3,46.3,48.3,49.3,55.3,61.3,59.3,63.3,56.8,55.8,55.8,54.8,53.8,52.8,51.8,50.8,50.8,49.8,49.8,49.8,50.8,50.8,51.8,52.8
2026-01-07,300,3.16,61.8,38.2,Lean D,2.52,3.08,3.16,-0.27,3.42,51.58,48.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2868163,4746033,0,2.7,-0.4,42.6,-11.6,37.8,83.8,55.8,57.8,50.8,50.8,58.5,55.5,50.5,47.5,47.5,48.5,48.5,51.3,46.3,48.3,49.3,55.3,61.3,59.3,63.3,56.8,55.8,55.8,54.8,53.8,52.8,51.8,50.8,50.8,49.8,49.8,49.8,50.8,50.8,51.8,52.8
2026-01-08,299,3.16,61.8,38.2,Lean D,2.52,3.08,3.16,-0.27,3.42,51.58,48.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2868163,4746033,0,2.7,-0.4,42.6,-11.5,37.8,83.8,55.8,57.8,50.8,50.8,58.5,55.5,50.5,47.5,47.5,48.5,48.5,51.3,46.3,48.3,49.3,55.3,61.3,59.3,63.3,56.8,55.8,55.8,54.8,53.8,52.8,51.8,50.8,50.8,49.8,49.8,49.8,50.8,50.8,51.8,52.8
2026-01-09,298,3.17,61.9,38.1,Lean D,2.52,3.09,3.17,-0.27,3.44,51.58,48.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2868163,4746033,0,2.71,-0.4,42.6,-11.5,37.8,83.8,55.8,57.8,50.8,50.8,58.5,55.5,50.5,47.5,47.5,48.5,48.5,51.3,46.3,48.3,49.3,55.3,61.3,59.3,63.3,56.8,55.8,55.8,54.8,53.8,52.8,51.8,50.8,50.8,49.8,49.8,49.8,50.8,50.8,51.8,52.8
2026-01-10,297,3.17,61.9,38.1,Lean D,2.52,3.09,3.17,-0.27,3.44,51.58,48.42,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,2868163,4746033,0,2.71,-0.4,42.6,-11.5,37.8,83.8,55.8,57.8,50.8,50.8,58.5,55.5,50.5,47.5,47.5,48.5,48.5,51.3,46.3,48.3,49.3,55.3,61.3,59.3,63.3,56.8,55.8,55.8,54.8,53.8,52.8,51.8,50.8,50.8,49.8,49.8,49.8,50.8,50.8,51.8,52.8
