date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,42.52,100.0,0.0,Safe D,37.67,3.18,42.52,35.17,7.34,71.26,28.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.42,1.17,27.4,-41.8,48.3,94.3,66.3,68.3,61.3,61.3,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-02,305,42.52,100.0,0.0,Safe D,37.67,3.18,42.52,35.17,7.34,71.26,28.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.42,1.17,27.4,-41.8,48.3,94.3,66.3,68.3,61.3,61.3,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-03,304,42.53,100.0,0.0,Safe D,37.67,3.19,42.53,35.17,7.36,71.26,28.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.43,1.17,27.4,-41.8,48.3,94.3,66.3,68.3,61.3,61.3,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-04,303,42.45,100.0,0.0,Safe D,37.66,3.13,42.45,35.17,7.28,71.23,28.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.37,1.17,27.5,-41.5,48.2,94.2,66.2,68.2,61.2,61.2,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-05,302,42.5,100.0,0.0,Safe D,37.67,3.17,42.5,35.17,7.33,71.25,28.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.41,1.17,27.5,-41.6,48.2,94.2,66.2,68.2,61.2,61.2,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-06,301,42.5,100.0,0.0,Safe D,37.67,3.17,42.5,35.17,7.33,71.25,28.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.41,1.17,27.5,-41.6,48.2,94.2,66.2,68.2,61.2,61.2,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-07,300,42.5,100.0,0.0,Safe D,37.67,3.17,42.5,35.17,7.33,71.25,28.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.41,1.17,27.5,-41.7,48.2,94.2,66.2,68.2,61.2,61.2,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-08,299,42.5,100.0,0.0,Safe D,37.67,3.17,42.5,35.17,7.33,71.25,28.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.41,1.17,27.5,-41.7,48.2,94.2,66.2,68.2,61.2,61.2,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-09,298,42.5,100.0,0.0,Safe D,37.67,3.17,42.5,35.17,7.33,71.25,28.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.41,1.17,27.5,-41.7,48.2,94.2,66.2,68.2,61.2,61.2,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-10,297,42.5,100.0,0.0,Safe D,37.67,3.17,42.5,35.17,7.33,71.25,28.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.41,1.17,27.5,-41.7,48.2,94.2,66.2,68.2,61.2,61.2,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-11,296,42.48,100.0,0.0,Safe D,37.66,3.15,42.48,35.17,7.31,71.24,28.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.39,1.17,27.4,-41.9,48.2,94.2,66.2,68.2,61.2,61.2,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-12,295,42.53,100.0,0.0,Safe D,37.67,3.19,42.53,35.17,7.36,71.26,28.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.43,1.17,27.3,-42.0,48.3,94.3,66.3,68.3,61.3,61.3,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-13,294,42.5,100.0,0.0,Safe D,37.67,3.17,42.5,35.17,7.33,71.25,28.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.41,1.17,27.3,-42.2,48.2,94.2,66.2,68.2,61.2,61.2,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-14,293,42.52,100.0,0.0,Safe D,37.67,3.18,42.52,35.17,7.34,71.26,28.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.42,1.17,27.3,-42.1,48.3,94.3,66.3,68.3,61.3,61.3,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-15,292,42.54,100.0,0.0,Safe D,37.67,3.2,42.54,35.17,7.37,71.27,28.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.44,1.17,27.3,-42.1,48.3,94.3,66.3,68.3,61.3,61.3,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-16,291,42.54,100.0,0.0,Safe D,37.67,3.2,42.54,35.17,7.37,71.27,28.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.44,1.17,27.3,-42.2,48.3,94.3,66.3,68.3,61.3,61.3,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-17,290,42.59,100.0,0.0,Safe D,37.68,3.24,42.59,35.17,7.42,71.29,28.71,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.48,1.17,27.2,-42.3,48.3,94.3,66.3,68.3,61.3,61.3,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.3,75.3,75.3,74.3,73.3,72.3,71.3,70.3,70.3,69.3,69.3,69.3,70.3,70.3,71.3,72.3
2026-01-18,289,42.53,100.0,0.0,Safe D,37.67,3.19,42.53,35.17,7.36,71.26,28.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.43,1.17,27.3,-42.2,48.3,94.3,66.3,68.3,61.3,61.3,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.2,75.2,75.2,74.2,73.2,72.2,71.2,70.2,70.2,69.2,69.2,69.2,70.2,70.2,71.2,72.2
2026-01-19,288,42.58,100.0,0.0,Safe D,37.68,3.23,42.58,35.17,7.4,71.29,28.71,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,40.47,1.17,27.3,-42.1,48.3,94.3,66.3,68.3,61.3,61.3,77.5,74.5,69.5,66.5,66.5,67.5,67.5,71.8,66.8,68.8,69.8,75.8,81.8,79.8,83.8,76.3,75.3,75.3,74.3,73.3,72.3,71.3,70.3,70.3,69.3,69.3,69.3,70.3,70.3,71.3,72.3
