date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,15.91,93.6,6.4,Likely D,6.87,3.11,15.91,5.89,10.02,57.96,42.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14719667,192041,0,9.68,-0.3,39.3,-18.0,45.3,91.3,63.3,65.3,58.3,58.3,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.2,52.2,54.2,55.2,61.2,67.2,65.2,69.2,63.0,62.0,62.0,61.0,60.0,59.0,58.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0,58.0,59.0
2026-01-02,305,15.91,93.6,6.4,Likely D,6.87,3.11,15.91,5.89,10.02,57.96,42.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14719667,192041,0,9.68,-0.3,39.3,-18.0,45.3,91.3,63.3,65.3,58.3,58.3,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.2,52.2,54.2,55.2,61.2,67.2,65.2,69.2,63.0,62.0,62.0,61.0,60.0,59.0,58.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0,58.0,59.0
2026-01-03,304,15.91,93.6,6.4,Likely D,6.87,3.11,15.91,5.89,10.02,57.96,42.04,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14719667,192041,0,9.68,-0.3,39.3,-18.0,45.3,91.3,63.3,65.3,58.3,58.3,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.2,52.2,54.2,55.2,61.2,67.2,65.2,69.2,63.0,62.0,62.0,61.0,60.0,59.0,58.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0,58.0,59.0
2026-01-04,303,15.84,93.5,6.5,Likely D,6.87,3.04,15.84,5.89,9.95,57.92,42.08,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14719667,192041,0,9.61,-0.3,39.4,-17.8,45.3,91.3,63.3,65.3,58.3,58.3,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.1,52.1,54.1,55.1,61.1,67.1,65.1,69.1,62.9,61.9,61.9,60.9,59.9,58.9,57.9,56.9,56.9,55.9,55.9,55.9,56.9,56.9,57.9,58.9
2026-01-05,302,15.88,93.5,6.5,Likely D,6.87,3.08,15.88,5.89,9.99,57.94,42.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14719667,192041,0,9.65,-0.3,39.4,-17.8,45.3,91.3,63.3,65.3,58.3,58.3,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.1,52.1,54.1,55.1,61.1,67.1,65.1,69.1,62.9,61.9,61.9,60.9,59.9,58.9,57.9,56.9,56.9,55.9,55.9,55.9,56.9,56.9,57.9,58.9
2026-01-06,301,15.88,93.5,6.5,Likely D,6.87,3.08,15.88,5.89,9.99,57.94,42.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14719667,192041,0,9.65,-0.3,39.4,-17.8,45.3,91.3,63.3,65.3,58.3,58.3,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.1,52.1,54.1,55.1,61.1,67.1,65.1,69.1,62.9,61.9,61.9,60.9,59.9,58.9,57.9,56.9,56.9,55.9,55.9,55.9,56.9,56.9,57.9,58.9
2026-01-07,300,15.88,93.5,6.5,Likely D,6.87,3.08,15.88,5.89,9.99,57.94,42.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14719667,192041,0,9.65,-0.3,39.4,-17.9,45.3,91.3,63.3,65.3,58.3,58.3,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.1,52.1,54.1,55.1,61.1,67.1,65.1,69.1,62.9,61.9,61.9,60.9,59.9,58.9,57.9,56.9,56.9,55.9,55.9,55.9,56.9,56.9,57.9,58.9
2026-01-08,299,15.88,93.5,6.5,Likely D,6.87,3.08,15.88,5.89,9.99,57.94,42.06,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14719667,192041,0,9.65,-0.3,39.4,-17.9,45.3,91.3,63.3,65.3,58.3,58.3,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.1,52.1,54.1,55.1,61.1,67.1,65.1,69.1,62.9,61.9,61.9,60.9,59.9,58.9,57.9,56.9,56.9,55.9,55.9,55.9,56.9,56.9,57.9,58.9
2026-01-09,298,15.89,93.5,6.5,Likely D,6.87,3.09,15.89,5.89,10.0,57.95,42.05,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14719667,192041,0,9.66,-0.3,39.4,-17.9,45.3,91.3,63.3,65.3,58.3,58.3,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.2,52.2,54.2,55.2,61.2,67.2,65.2,69.2,63.0,62.0,62.0,61.0,60.0,59.0,58.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0,58.0,59.0
2026-01-10,297,15.89,93.5,6.5,Likely D,6.87,3.09,15.89,5.89,10.0,57.95,42.05,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14719667,192041,0,9.66,-0.3,39.4,-17.9,45.3,91.3,63.3,65.3,58.3,58.3,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.2,52.2,54.2,55.2,61.2,67.2,65.2,69.2,63.0,62.0,62.0,61.0,60.0,59.0,58.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0,58.0,59.0
2026-01-11,296,15.85,93.5,6.5,Likely D,6.87,3.05,15.85,5.89,9.96,57.93,42.07,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14719667,192041,0,9.62,-0.3,39.3,-18.1,45.3,91.3,63.3,65.3,58.3,58.3,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.1,52.1,54.1,55.1,61.1,67.1,65.1,69.1,62.9,61.9,61.9,60.9,59.9,58.9,57.9,56.9,56.9,55.9,55.9,55.9,56.9,56.9,57.9,58.9
2026-01-12,295,15.9,93.6,6.4,Likely D,6.87,3.1,15.9,5.89,10.01,57.95,42.05,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14719667,192041,0,9.67,-0.3,39.2,-18.2,45.3,91.3,63.3,65.3,58.3,58.3,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.2,52.2,54.2,55.2,61.2,67.2,65.2,69.2,63.0,62.0,62.0,61.0,60.0,59.0,58.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0,58.0,59.0
2026-01-13,294,15.89,93.5,6.5,Likely D,6.87,3.09,15.89,5.89,10.0,57.95,42.05,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,14719667,192041,0,9.66,-0.3,39.2,-18.4,45.3,91.3,63.3,65.3,58.3,58.3,64.9,61.9,56.9,53.9,53.9,54.9,54.9,57.2,52.2,54.2,55.2,61.2,67.2,65.2,69.2,63.0,62.0,62.0,61.0,60.0,59.0,58.0,57.0,57.0,56.0,56.0,56.0,57.0,57.0,58.0,59.0
