date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,30.45,99.8,0.2,Safe D,18.58,3.11,30.45,32.77,-2.32,65.23,34.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.66,-0.95,28.4,-39.7,63.3,98.0,81.3,83.3,76.3,76.3,72.6,69.6,64.6,61.6,61.6,62.6,62.6,64.6,59.6,61.6,62.6,68.6,74.6,72.6,76.6,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
2026-01-02,305,30.45,99.8,0.2,Safe D,18.58,3.11,30.45,32.77,-2.32,65.23,34.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.66,-0.95,28.4,-39.7,63.3,98.0,81.3,83.3,76.3,76.3,72.6,69.6,64.6,61.6,61.6,62.6,62.6,64.6,59.6,61.6,62.6,68.6,74.6,72.6,76.6,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
2026-01-03,304,30.45,99.8,0.2,Safe D,18.58,3.11,30.45,32.77,-2.32,65.23,34.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.66,-0.95,28.4,-39.7,63.3,98.0,81.3,83.3,76.3,76.3,72.6,69.6,64.6,61.6,61.6,62.6,62.6,64.6,59.6,61.6,62.6,68.6,74.6,72.6,76.6,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
2026-01-04,303,30.37,99.8,0.2,Safe D,18.56,3.04,30.37,32.77,-2.4,65.18,34.82,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.59,-0.95,28.6,-39.4,63.2,98.0,81.2,83.2,76.2,76.2,72.5,69.5,64.5,61.5,61.5,62.5,62.5,64.5,59.5,61.5,62.5,68.5,74.5,72.5,76.5,70.2,69.2,69.2,68.2,67.2,66.2,65.2,64.2,64.2,63.2,63.2,63.2,64.2,64.2,65.2,66.2
2026-01-05,302,30.42,99.8,0.2,Safe D,18.57,3.08,30.42,32.77,-2.35,65.21,34.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.63,-0.95,28.6,-39.4,63.2,98.0,81.2,83.2,76.2,76.2,72.5,69.5,64.5,61.5,61.5,62.5,62.5,64.5,59.5,61.5,62.5,68.5,74.5,72.5,76.5,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
2026-01-06,301,30.42,99.8,0.2,Safe D,18.57,3.08,30.42,32.77,-2.35,65.21,34.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.63,-0.95,28.6,-39.4,63.2,98.0,81.2,83.2,76.2,76.2,72.5,69.5,64.5,61.5,61.5,62.5,62.5,64.5,59.5,61.5,62.5,68.5,74.5,72.5,76.5,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
2026-01-07,300,30.42,99.8,0.2,Safe D,18.57,3.08,30.42,32.77,-2.35,65.21,34.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.63,-0.95,28.5,-39.6,63.2,98.0,81.2,83.2,76.2,76.2,72.5,69.5,64.5,61.5,61.5,62.5,62.5,64.5,59.5,61.5,62.5,68.5,74.5,72.5,76.5,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
2026-01-08,299,30.42,99.8,0.2,Safe D,18.57,3.08,30.42,32.77,-2.35,65.21,34.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.63,-0.95,28.6,-39.5,63.2,98.0,81.2,83.2,76.2,76.2,72.5,69.5,64.5,61.5,61.5,62.5,62.5,64.5,59.5,61.5,62.5,68.5,74.5,72.5,76.5,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
2026-01-09,298,30.43,99.8,0.2,Safe D,18.58,3.09,30.43,32.77,-2.34,65.21,34.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.64,-0.95,28.5,-39.5,63.2,98.0,81.2,83.2,76.2,76.2,72.5,69.5,64.5,61.5,61.5,62.5,62.5,64.5,59.5,61.5,62.5,68.5,74.5,72.5,76.5,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
2026-01-10,297,30.43,99.8,0.2,Safe D,18.58,3.09,30.43,32.77,-2.34,65.21,34.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.64,-0.95,28.5,-39.5,63.2,98.0,81.2,83.2,76.2,76.2,72.5,69.5,64.5,61.5,61.5,62.5,62.5,64.5,59.5,61.5,62.5,68.5,74.5,72.5,76.5,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
2026-01-11,296,30.38,99.8,0.2,Safe D,18.57,3.05,30.38,32.77,-2.39,65.19,34.81,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.6,-0.95,28.5,-39.7,63.2,98.0,81.2,83.2,76.2,76.2,72.5,69.5,64.5,61.5,61.5,62.5,62.5,64.5,59.5,61.5,62.5,68.5,74.5,72.5,76.5,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
2026-01-12,295,30.44,99.8,0.2,Safe D,18.58,3.1,30.44,32.77,-2.33,65.22,34.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.65,-0.95,28.4,-39.8,63.3,98.0,81.3,83.3,76.3,76.3,72.5,69.5,64.5,61.5,61.5,62.5,62.5,64.6,59.6,61.6,62.6,68.6,74.6,72.6,76.6,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
2026-01-13,294,30.43,99.8,0.2,Safe D,18.58,3.09,30.43,32.77,-2.34,65.21,34.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.64,-0.95,28.3,-40.0,63.2,98.0,81.2,83.2,76.2,76.2,72.5,69.5,64.5,61.5,61.5,62.5,62.5,64.5,59.5,61.5,62.5,68.5,74.5,72.5,76.5,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
2026-01-14,293,30.43,99.8,0.2,Safe D,18.58,3.09,30.43,32.77,-2.34,65.21,34.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.64,-0.95,28.4,-40.0,63.2,98.0,81.2,83.2,76.2,76.2,72.5,69.5,64.5,61.5,61.5,62.5,62.5,64.5,59.5,61.5,62.5,68.5,74.5,72.5,76.5,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
2026-01-15,292,30.45,99.8,0.2,Safe D,18.58,3.11,30.45,32.77,-2.32,65.23,34.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.66,-0.95,28.4,-39.9,63.3,98.0,81.3,83.3,76.3,76.3,72.6,69.6,64.6,61.6,61.6,62.6,62.6,64.6,59.6,61.6,62.6,68.6,74.6,72.6,76.6,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
2026-01-16,291,30.45,99.8,0.2,Safe D,18.58,3.11,30.45,32.77,-2.32,65.23,34.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.66,-0.95,28.4,-40.0,63.3,98.0,81.3,83.3,76.3,76.3,72.6,69.6,64.6,61.6,61.6,62.6,62.6,64.6,59.6,61.6,62.6,68.6,74.6,72.6,76.6,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
2026-01-17,290,30.5,99.8,0.2,Safe D,18.59,3.15,30.5,32.77,-2.27,65.25,34.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,35.7,-0.95,28.3,-40.1,63.3,98.0,81.3,83.3,76.3,76.3,72.6,69.6,64.6,61.6,61.6,62.6,62.6,64.6,59.6,61.6,62.6,68.6,74.6,72.6,76.6,70.3,69.3,69.3,68.3,67.3,66.3,65.3,64.3,64.3,63.3,63.3,63.3,64.3,64.3,65.3,66.3
