date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-25.9,0.7,99.3,Safe R,33.5,3.18,-25.9,32.77,-58.67,37.05,62.95,0.0,False,False,,,,0.0,0.0,0.0,36.68,28.5,-39.6,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-02,305,-25.9,0.7,99.3,Safe R,33.5,3.18,-25.9,32.77,-58.67,37.05,62.95,0.0,False,False,,,,0.0,0.0,0.0,36.68,28.5,-39.6,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-03,304,-25.89,0.7,99.3,Safe R,33.5,3.19,-25.89,32.77,-58.66,37.06,62.94,0.0,False,False,,,,0.0,0.0,0.0,36.69,28.5,-39.6,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-04,303,-25.95,0.7,99.3,Safe R,33.5,3.13,-25.95,32.77,-58.72,37.03,62.97,0.0,False,False,,,,0.0,0.0,0.0,36.63,28.6,-39.3,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-05,302,-25.91,0.7,99.3,Safe R,33.5,3.17,-25.91,32.77,-58.68,37.05,62.95,0.0,False,False,,,,0.0,0.0,0.0,36.67,28.6,-39.4,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-06,301,-25.91,0.7,99.3,Safe R,33.5,3.17,-25.91,32.77,-58.68,37.05,62.95,0.0,False,False,,,,0.0,0.0,0.0,36.67,28.6,-39.4,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-07,300,-25.91,0.7,99.3,Safe R,33.5,3.17,-25.91,32.77,-58.68,37.05,62.95,0.0,False,False,,,,0.0,0.0,0.0,36.67,28.6,-39.5,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-08,299,-25.91,0.7,99.3,Safe R,33.5,3.17,-25.91,32.77,-58.68,37.05,62.95,0.0,False,False,,,,0.0,0.0,0.0,36.67,28.6,-39.5,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-09,298,-25.91,0.7,99.3,Safe R,33.5,3.17,-25.91,32.77,-58.68,37.05,62.95,0.0,False,False,,,,0.0,0.0,0.0,36.67,28.6,-39.5,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-10,297,-25.91,0.7,99.3,Safe R,33.5,3.17,-25.91,32.77,-58.68,37.05,62.95,0.0,False,False,,,,0.0,0.0,0.0,36.67,28.6,-39.5,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-11,296,-25.93,0.7,99.3,Safe R,33.5,3.15,-25.93,32.77,-58.7,37.04,62.96,0.0,False,False,,,,0.0,0.0,0.0,36.65,28.5,-39.7,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-12,295,-25.89,0.7,99.3,Safe R,33.5,3.19,-25.89,32.77,-58.66,37.06,62.94,0.0,False,False,,,,0.0,0.0,0.0,36.69,28.4,-39.8,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-13,294,-25.91,0.7,99.3,Safe R,33.5,3.17,-25.91,32.77,-58.68,37.05,62.95,0.0,False,False,,,,0.0,0.0,0.0,36.67,28.4,-40.0,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-14,293,-25.9,0.7,99.3,Safe R,33.5,3.18,-25.9,32.77,-58.67,37.05,62.95,0.0,False,False,,,,0.0,0.0,0.0,36.68,28.4,-39.9,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-15,292,-25.88,0.7,99.3,Safe R,33.5,3.2,-25.88,32.77,-58.65,37.06,62.94,0.0,False,False,,,,0.0,0.0,0.0,36.7,28.4,-39.9,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-16,291,-25.88,0.7,99.3,Safe R,33.5,3.2,-25.88,32.77,-58.65,37.06,62.94,0.0,False,False,,,,0.0,0.0,0.0,36.7,28.4,-40.0,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-17,290,-25.84,0.7,99.3,Safe R,33.5,3.24,-25.84,32.77,-58.61,37.08,62.92,0.0,False,False,,,,0.0,0.0,0.0,36.74,28.3,-40.1,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-18,289,-25.89,0.7,99.3,Safe R,33.5,3.19,-25.89,32.77,-58.66,37.06,62.94,0.0,False,False,,,,0.0,0.0,0.0,36.69,28.4,-40.0,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-19,288,-25.85,0.7,99.3,Safe R,33.5,3.23,-25.85,32.77,-58.62,37.08,62.92,0.0,False,False,,,,0.0,0.0,0.0,36.73,28.4,-39.9,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.1,41.1,41.1,40.1,39.1,38.1,37.1,36.1,36.1,35.1,35.1,35.1,36.1,36.1,37.1,38.1
2026-01-20,287,-25.77,0.7,99.3,Safe R,33.5,3.31,-25.77,32.77,-58.54,37.12,62.88,0.0,False,False,,,,0.0,0.0,0.0,36.81,28.2,-40.2,35.2,81.2,53.2,55.2,48.2,48.2,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.5,31.5,33.5,34.5,40.5,46.5,44.5,48.5,42.2,41.2,41.2,40.2,39.2,38.2,37.2,36.2,36.2,35.2,35.2,35.2,36.2,36.2,37.2,38.2
2026-01-21,286,-25.77,0.7,99.3,Safe R,33.5,3.31,-25.77,32.77,-58.54,37.12,62.88,0.0,False,False,,,,0.0,0.0,0.0,36.81,28.3,-40.1,35.2,81.2,53.2,55.2,48.2,48.2,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.5,31.5,33.5,34.5,40.5,46.5,44.5,48.5,42.2,41.2,41.2,40.2,39.2,38.2,37.2,36.2,36.2,35.2,35.2,35.2,36.2,36.2,37.2,38.2
2026-01-22,285,-25.75,0.7,99.3,Safe R,33.5,3.33,-25.75,32.77,-58.52,37.13,62.87,0.0,False,False,,,,0.0,0.0,0.0,36.83,28.2,-40.2,35.2,81.2,53.2,55.2,48.2,48.2,44.5,41.5,36.5,33.5,33.5,34.5,34.5,36.5,31.5,33.5,34.5,40.5,46.5,44.5,48.5,42.2,41.2,41.2,40.2,39.2,38.2,37.2,36.2,36.2,35.2,35.2,35.2,36.2,36.2,37.2,38.2
2026-01-23,284,-25.74,0.7,99.3,Safe R,33.5,3.34,-25.74,32.77,-58.51,37.13,62.87,0.0,False,False,,,,0.0,0.0,0.0,36.84,28.2,-40.2,35.2,81.2,53.2,55.2,48.2,48.2,44.5,41.5,36.5,33.5,33.5,34.5,34.5,36.5,31.5,33.5,34.5,40.5,46.5,44.5,48.5,42.2,41.2,41.2,40.2,39.2,38.2,37.2,36.2,36.2,35.2,35.2,35.2,36.2,36.2,37.2,38.2
2026-01-24,283,-25.74,0.7,99.3,Safe R,33.5,3.34,-25.74,32.77,-58.51,37.13,62.87,0.0,False,False,,,,0.0,0.0,0.0,36.84,28.2,-40.2,35.2,81.2,53.2,55.2,48.2,48.2,44.5,41.5,36.5,33.5,33.5,34.5,34.5,36.5,31.5,33.5,34.5,40.5,46.5,44.5,48.5,42.2,41.2,41.2,40.2,39.2,38.2,37.2,36.2,36.2,35.2,35.2,35.2,36.2,36.2,37.2,38.2
2026-01-25,282,-25.8,0.7,99.3,Safe R,33.5,3.28,-25.8,32.77,-58.57,37.1,62.9,0.0,False,False,,,,0.0,0.0,0.0,36.78,28.2,-40.3,35.1,81.1,53.1,55.1,48.1,48.1,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.4,31.4,33.4,34.4,40.4,46.4,44.4,48.4,42.2,41.2,41.2,40.2,39.2,38.2,37.2,36.2,36.2,35.2,35.2,35.2,36.2,36.2,37.2,38.2
2026-01-26,281,-25.77,0.7,99.3,Safe R,33.5,3.31,-25.77,32.77,-58.54,37.12,62.88,0.0,False,False,,,,0.0,0.0,0.0,36.81,28.1,-40.5,35.2,81.2,53.2,55.2,48.2,48.2,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.5,31.5,33.5,34.5,40.5,46.5,44.5,48.5,42.2,41.2,41.2,40.2,39.2,38.2,37.2,36.2,36.2,35.2,35.2,35.2,36.2,36.2,37.2,38.2
2026-01-27,280,-25.77,0.7,99.3,Safe R,33.5,3.31,-25.77,32.77,-58.54,37.12,62.88,0.0,False,False,,,,0.0,0.0,0.0,36.81,28.1,-40.5,35.2,81.2,53.2,55.2,48.2,48.2,44.4,41.4,36.4,33.4,33.4,34.4,34.4,36.5,31.5,33.5,34.5,40.5,46.5,44.5,48.5,42.2,41.2,41.2,40.2,39.2,38.2,37.2,36.2,36.2,35.2,35.2,35.2,36.2,36.2,37.2,38.2
2026-01-28,279,-25.74,0.7,99.3,Safe R,33.5,3.34,-25.74,32.77,-58.51,37.13,62.87,0.0,False,False,,,,0.0,0.0,0.0,36.84,28.1,-40.6,35.2,81.2,53.2,55.2,48.2,48.2,44.5,41.5,36.5,33.5,33.5,34.5,34.5,36.5,31.5,33.5,34.5,40.5,46.5,44.5,48.5,42.2,41.2,41.2,40.2,39.2,38.2,37.2,36.2,36.2,35.2,35.2,35.2,36.2,36.2,37.2,38.2
2026-01-29,278,-25.75,0.7,99.3,Safe R,33.5,3.33,-25.75,32.77,-58.52,37.13,62.87,0.0,False,False,,,,0.0,0.0,0.0,36.83,28.2,-40.5,35.2,81.2,53.2,55.2,48.2,48.2,44.5,41.5,36.5,33.5,33.5,34.5,34.5,36.5,31.5,33.5,34.5,40.5,46.5,44.5,48.5,42.2,41.2,41.2,40.2,39.2,38.2,37.2,36.2,36.2,35.2,35.2,35.2,36.2,36.2,37.2,38.2
2026-01-30,277,-25.74,0.7,99.3,Safe R,33.5,3.34,-25.74,32.77,-58.51,37.13,62.87,0.0,False,False,,,,0.0,0.0,0.0,36.84,28.1,-40.6,35.2,81.2,53.2,55.2,48.2,48.2,44.5,41.5,36.5,33.5,33.5,34.5,34.5,36.5,31.5,33.5,34.5,40.5,46.5,44.5,48.5,42.2,41.2,41.2,40.2,39.2,38.2,37.2,36.2,36.2,35.2,35.2,35.2,36.2,36.2,37.2,38.2
2026-01-31,276,-25.74,0.7,99.3,Safe R,33.5,3.34,-25.74,32.77,-58.51,37.13,62.87,0.0,False,False,,,,0.0,0.0,0.0,36.84,28.1,-40.5,35.2,81.2,53.2,55.2,48.2,48.2,44.5,41.5,36.5,33.5,33.5,34.5,34.5,36.5,31.5,33.5,34.5,40.5,46.5,44.5,48.5,42.2,41.2,41.2,40.2,39.2,38.2,37.2,36.2,36.2,35.2,35.2,35.2,36.2,36.2,37.2,38.2
