date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,25.66,99.3,0.7,Safe D,18.64,3.11,25.66,18.6,7.06,62.83,37.17,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1161278,0,0,21.35,-0.4,33.9,-28.8,53.8,98.0,71.8,73.8,66.8,66.8,69.4,66.4,61.4,58.4,58.4,59.4,59.4,63.2,58.2,60.2,61.2,67.2,73.2,71.2,75.2,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-02,305,25.66,99.3,0.7,Safe D,18.64,3.11,25.66,18.6,7.06,62.83,37.17,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1161278,0,0,21.35,-0.4,33.9,-28.8,53.8,98.0,71.8,73.8,66.8,66.8,69.4,66.4,61.4,58.4,58.4,59.4,59.4,63.2,58.2,60.2,61.2,67.2,73.2,71.2,75.2,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-03,304,25.66,99.3,0.7,Safe D,18.64,3.11,25.66,18.6,7.06,62.83,37.17,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1161278,0,0,21.35,-0.4,33.9,-28.8,53.8,98.0,71.8,73.8,66.8,66.8,69.4,66.4,61.4,58.4,58.4,59.4,59.4,63.2,58.2,60.2,61.2,67.2,73.2,71.2,75.2,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-04,303,25.59,99.3,0.7,Safe D,18.64,3.04,25.59,18.6,6.99,62.8,37.2,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1161278,0,0,21.28,-0.4,34.0,-28.5,53.8,98.0,71.8,73.8,66.8,66.8,69.4,66.4,61.4,58.4,58.4,59.4,59.4,63.2,58.2,60.2,61.2,67.2,73.2,71.2,75.2,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-05,302,25.63,99.3,0.7,Safe D,18.64,3.08,25.63,18.6,7.03,62.82,37.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1161278,0,0,21.32,-0.4,34.0,-28.6,53.8,98.0,71.8,73.8,66.8,66.8,69.4,66.4,61.4,58.4,58.4,59.4,59.4,63.2,58.2,60.2,61.2,67.2,73.2,71.2,75.2,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-06,301,25.63,99.3,0.7,Safe D,18.64,3.08,25.63,18.6,7.03,62.82,37.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1161278,0,0,21.32,-0.4,34.0,-28.6,53.8,98.0,71.8,73.8,66.8,66.8,69.4,66.4,61.4,58.4,58.4,59.4,59.4,63.2,58.2,60.2,61.2,67.2,73.2,71.2,75.2,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-07,300,25.63,99.3,0.7,Safe D,18.64,3.08,25.63,18.6,7.03,62.82,37.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1161278,0,0,21.32,-0.4,34.0,-28.7,53.8,98.0,71.8,73.8,66.8,66.8,69.4,66.4,61.4,58.4,58.4,59.4,59.4,63.2,58.2,60.2,61.2,67.2,73.2,71.2,75.2,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-08,299,25.63,99.3,0.7,Safe D,18.64,3.08,25.63,18.6,7.03,62.82,37.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1161278,0,0,21.32,-0.4,34.0,-28.7,53.8,98.0,71.8,73.8,66.8,66.8,69.4,66.4,61.4,58.4,58.4,59.4,59.4,63.2,58.2,60.2,61.2,67.2,73.2,71.2,75.2,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-09,298,25.64,99.3,0.7,Safe D,18.64,3.09,25.64,18.6,7.04,62.82,37.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1161278,0,0,21.33,-0.4,34.0,-28.7,53.8,98.0,71.8,73.8,66.8,66.8,69.4,66.4,61.4,58.4,58.4,59.4,59.4,63.2,58.2,60.2,61.2,67.2,73.2,71.2,75.2,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
2026-01-10,297,25.64,99.3,0.7,Safe D,18.64,3.09,25.64,18.6,7.04,62.82,37.18,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,1161278,0,0,21.33,-0.4,34.0,-28.7,53.8,98.0,71.8,73.8,66.8,66.8,69.4,66.4,61.4,58.4,58.4,59.4,59.4,63.2,58.2,60.2,61.2,67.2,73.2,71.2,75.2,68.1,67.1,67.1,66.1,65.1,64.1,63.1,62.1,62.1,61.1,61.1,61.1,62.1,62.1,63.1,64.1
