date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,48.62,100.0,0.0,Safe D,43.78,3.18,48.62,40.75,7.88,74.31,25.69,0.0,False,False,,,,0.0,0.0,0.0,44.51,24.8,-46.9,69.8,98.0,87.8,89.8,82.8,82.8,80.8,77.8,72.8,69.8,69.8,70.8,70.8,73.1,68.1,70.1,71.1,77.1,83.1,81.1,85.1,79.5,78.5,78.5,77.5,76.5,75.5,74.5,73.5,73.5,72.5,72.5,72.5,73.5,73.5,74.5,75.5
2026-01-02,305,48.62,100.0,0.0,Safe D,43.78,3.18,48.62,40.75,7.88,74.31,25.69,0.0,False,False,,,,0.0,0.0,0.0,44.51,24.8,-46.9,69.8,98.0,87.8,89.8,82.8,82.8,80.8,77.8,72.8,69.8,69.8,70.8,70.8,73.1,68.1,70.1,71.1,77.1,83.1,81.1,85.1,79.5,78.5,78.5,77.5,76.5,75.5,74.5,73.5,73.5,72.5,72.5,72.5,73.5,73.5,74.5,75.5
2026-01-03,304,48.63,100.0,0.0,Safe D,43.78,3.19,48.63,40.75,7.89,74.32,25.68,0.0,False,False,,,,0.0,0.0,0.0,44.52,24.8,-46.9,69.8,98.0,87.8,89.8,82.8,82.8,80.9,77.9,72.9,69.9,69.9,70.9,70.9,73.1,68.1,70.1,71.1,77.1,83.1,81.1,85.1,79.5,78.5,78.5,77.5,76.5,75.5,74.5,73.5,73.5,72.5,72.5,72.5,73.5,73.5,74.5,75.5
2026-01-04,303,48.56,100.0,0.0,Safe D,43.76,3.13,48.56,40.75,7.81,74.28,25.72,0.0,False,False,,,,0.0,0.0,0.0,44.46,24.9,-46.6,69.7,98.0,87.7,89.7,82.7,82.7,80.8,77.8,72.8,69.8,69.8,70.8,70.8,73.1,68.1,70.1,71.1,77.1,83.1,81.1,85.1,79.4,78.4,78.4,77.4,76.4,75.4,74.4,73.4,73.4,72.4,72.4,72.4,73.4,73.4,74.4,75.4
2026-01-05,302,48.61,100.0,0.0,Safe D,43.77,3.17,48.61,40.75,7.86,74.3,25.7,0.0,False,False,,,,0.0,0.0,0.0,44.5,24.9,-46.7,69.8,98.0,87.8,89.8,82.8,82.8,80.8,77.8,72.8,69.8,69.8,70.8,70.8,73.1,68.1,70.1,71.1,77.1,83.1,81.1,85.1,79.5,78.5,78.5,77.5,76.5,75.5,74.5,73.5,73.5,72.5,72.5,72.5,73.5,73.5,74.5,75.5
2026-01-06,301,48.61,100.0,0.0,Safe D,43.77,3.17,48.61,40.75,7.86,74.3,25.7,0.0,False,False,,,,0.0,0.0,0.0,44.5,24.9,-46.7,69.8,98.0,87.8,89.8,82.8,82.8,80.8,77.8,72.8,69.8,69.8,70.8,70.8,73.1,68.1,70.1,71.1,77.1,83.1,81.1,85.1,79.5,78.5,78.5,77.5,76.5,75.5,74.5,73.5,73.5,72.5,72.5,72.5,73.5,73.5,74.5,75.5
2026-01-07,300,48.61,100.0,0.0,Safe D,43.77,3.17,48.61,40.75,7.86,74.3,25.7,0.0,False,False,,,,0.0,0.0,0.0,44.5,24.9,-46.8,69.8,98.0,87.8,89.8,82.8,82.8,80.8,77.8,72.8,69.8,69.8,70.8,70.8,73.1,68.1,70.1,71.1,77.1,83.1,81.1,85.1,79.5,78.5,78.5,77.5,76.5,75.5,74.5,73.5,73.5,72.5,72.5,72.5,73.5,73.5,74.5,75.5
2026-01-08,299,48.61,100.0,0.0,Safe D,43.77,3.17,48.61,40.75,7.86,74.3,25.7,0.0,False,False,,,,0.0,0.0,0.0,44.5,24.9,-46.8,69.8,98.0,87.8,89.8,82.8,82.8,80.8,77.8,72.8,69.8,69.8,70.8,70.8,73.1,68.1,70.1,71.1,77.1,83.1,81.1,85.1,79.5,78.5,78.5,77.5,76.5,75.5,74.5,73.5,73.5,72.5,72.5,72.5,73.5,73.5,74.5,75.5
2026-01-09,298,48.61,100.0,0.0,Safe D,43.77,3.17,48.61,40.75,7.86,74.3,25.7,0.0,False,False,,,,0.0,0.0,0.0,44.5,24.9,-46.8,69.8,98.0,87.8,89.8,82.8,82.8,80.8,77.8,72.8,69.8,69.8,70.8,70.8,73.1,68.1,70.1,71.1,77.1,83.1,81.1,85.1,79.5,78.5,78.5,77.5,76.5,75.5,74.5,73.5,73.5,72.5,72.5,72.5,73.5,73.5,74.5,75.5
2026-01-10,297,48.61,100.0,0.0,Safe D,43.77,3.17,48.61,40.75,7.86,74.3,25.7,0.0,False,False,,,,0.0,0.0,0.0,44.5,24.9,-46.8,69.8,98.0,87.8,89.8,82.8,82.8,80.8,77.8,72.8,69.8,69.8,70.8,70.8,73.1,68.1,70.1,71.1,77.1,83.1,81.1,85.1,79.5,78.5,78.5,77.5,76.5,75.5,74.5,73.5,73.5,72.5,72.5,72.5,73.5,73.5,74.5,75.5
2026-01-11,296,48.58,100.0,0.0,Safe D,43.77,3.15,48.58,40.75,7.84,74.29,25.71,0.0,False,False,,,,0.0,0.0,0.0,44.48,24.9,-47.0,69.7,98.0,87.7,89.7,82.7,82.7,80.8,77.8,72.8,69.8,69.8,70.8,70.8,73.1,68.1,70.1,71.1,77.1,83.1,81.1,85.1,79.5,78.5,78.5,77.5,76.5,75.5,74.5,73.5,73.5,72.5,72.5,72.5,73.5,73.5,74.5,75.5
2026-01-12,295,48.63,100.0,0.0,Safe D,43.78,3.19,48.63,40.75,7.89,74.32,25.68,0.0,False,False,,,,0.0,0.0,0.0,44.52,24.8,-47.1,69.8,98.0,87.8,89.8,82.8,82.8,80.9,77.9,72.9,69.9,69.9,70.9,70.9,73.1,68.1,70.1,71.1,77.1,83.1,81.1,85.1,79.5,78.5,78.5,77.5,76.5,75.5,74.5,73.5,73.5,72.5,72.5,72.5,73.5,73.5,74.5,75.5
2026-01-13,294,48.61,100.0,0.0,Safe D,43.77,3.17,48.61,40.75,7.86,74.3,25.7,0.0,False,False,,,,0.0,0.0,0.0,44.5,24.7,-47.3,69.8,98.0,87.8,89.8,82.8,82.8,80.8,77.8,72.8,69.8,69.8,70.8,70.8,73.1,68.1,70.1,71.1,77.1,83.1,81.1,85.1,79.5,78.5,78.5,77.5,76.5,75.5,74.5,73.5,73.5,72.5,72.5,72.5,73.5,73.5,74.5,75.5
