section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,WI-GOV,governor,Mandela Barnes,Tom Tiffany,11.03,85.6,14.4,Likely D,1330218,1065825,0,2396043.0,55.52,44.48,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,-0.25,5.32,False,5.07,40.0,-16.7,,,,,,,,,,,
demographic,,,,,,,,,991853,971503,0,,50.5,49.5,0.0,,,0.0,0,,,,,,,,,,,,,race,White,81.94,1963356.0,,,,,,,
demographic,,,,,,,,,148775,5367,0,,96.5,3.5,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,6.43,154142.0,,,,,,,
demographic,,,,,,,,,101251,46522,0,,68.5,31.5,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,6.17,147773.0,,,,,,,
demographic,,,,,,,,,53793,22489,0,,70.5,29.5,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,3.18,76282.0,,,,,,,
demographic,,,,,,,,,32960,18931,0,,63.5,36.5,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,2.17,51891.0,,,,,,,
demographic,,,,,,,,,1651,948,0,,63.5,36.5,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.11,2599.0,,,,,,,
demographic,,,,,,,,,261108,155692,0,,62.6,37.4,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,17.4,416800.0,,,,,,,
demographic,,,,,,,,,239278,161886,0,,59.6,40.4,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,16.74,401164.0,,,,,,,
demographic,,,,,,,,,203096,168562,0,,54.6,45.4,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,15.51,371658.0,,,,,,,
demographic,,,,,,,,,220102,206073,0,,51.6,48.4,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,17.79,426175.0,,,,,,,
demographic,,,,,,,,,210162,196766,0,,51.6,48.4,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,16.98,406928.0,,,,,,,
demographic,,,,,,,,,126590,113866,0,,52.6,47.4,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,10.04,240456.0,,,,,,,
demographic,,,,,,,,,69947,62916,0,,52.6,47.4,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,5.55,132862.0,,,,,,,
demographic,,,,,,,,,92467,72922,0,,55.9,44.1,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,6.9,165389.0,,,,,,,
demographic,,,,,,,,,365008,351973,0,,50.9,49.1,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,29.92,716981.0,,,,,,,
demographic,,,,,,,,,253635,225744,0,,52.9,47.1,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,20.01,479380.0,,,,,,,
demographic,,,,,,,,,143930,123057,0,,53.9,46.1,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,11.14,266988.0,,,,,,,
demographic,,,,,,,,,302361,202339,0,,59.9,40.1,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,21.06,504701.0,,,,,,,
demographic,,,,,,,,,124617,64457,0,,65.9,34.1,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,7.89,189075.0,,,,,,,
demographic,,,,,,,,,26691,15073,0,,63.9,36.1,0.0,,,0.0,0,,,,,,,,,,,,,education,Professional,1.74,41764.0,,,,,,,
demographic,,,,,,,,,21573,10194,0,,67.9,32.1,0.0,,,0.0,0,,,,,,,,,,,,,education,Doctorate,1.33,31767.0,,,,,,,
demographic,,,,,,,,,58681,38055,0,,60.7,39.3,0.0,,,0.0,0,,,,,,,,,,,,,income,<$10k,4.04,96735.0,,,,,,,
demographic,,,,,,,,,49067,33176,0,,59.7,40.3,0.0,,,0.0,0,,,,,,,,,,,,,income,$10-15k,3.43,82243.0,,,,,,,
demographic,,,,,,,,,43271,29257,0,,59.7,40.3,0.0,,,0.0,0,,,,,,,,,,,,,income,$15-20k,3.03,72529.0,,,,,,,
demographic,,,,,,,,,50907,35875,0,,58.7,41.3,0.0,,,0.0,0,,,,,,,,,,,,,income,$20-25k,3.62,86782.0,,,,,,,
demographic,,,,,,,,,58428,42902,0,,57.7,42.3,0.0,,,0.0,0,,,,,,,,,,,,,income,$25-30k,4.23,101330.0,,,,,,,
demographic,,,,,,,,,49693,38009,0,,56.7,43.3,0.0,,,0.0,0,,,,,,,,,,,,,income,$30-35k,3.66,87702.0,,,,,,,
demographic,,,,,,,,,49954,39793,0,,55.7,44.3,0.0,,,0.0,0,,,,,,,,,,,,,income,$35-40k,3.75,89746.0,,,,,,,
demographic,,,,,,,,,48874,40539,0,,54.7,45.3,0.0,,,0.0,0,,,,,,,,,,,,,income,$40-45k,3.73,89413.0,,,,,,,
demographic,,,,,,,,,51491,42710,0,,54.7,45.3,0.0,,,0.0,0,,,,,,,,,,,,,income,$45-50k,3.93,94200.0,,,,,,,
demographic,,,,,,,,,103901,89724,0,,53.7,46.3,0.0,,,0.0,0,,,,,,,,,,,,,income,$50-60k,8.08,193626.0,,,,,,,
demographic,,,,,,,,,130169,112407,0,,53.7,46.3,0.0,,,0.0,0,,,,,,,,,,,,,income,$60-75k,10.12,242576.0,,,,,,,
demographic,,,,,,,,,181947,157120,0,,53.7,46.3,0.0,,,0.0,0,,,,,,,,,,,,,income,$75-100k,14.15,339067.0,,,,,,,
demographic,,,,,,,,,143694,119188,0,,54.7,45.3,0.0,,,0.0,0,,,,,,,,,,,,,income,$100-125k,10.97,262881.0,,,,,,,
