section,race_code,race_type,dem_name,rep_name,margin,dem_prob,rep_prob,rating,dem_votes,rep_votes,oth_votes,total_votes,dem_pct,rep_pct,oth_pct,oth_party,ind_name,ind_pct,ind_votes,ind_prob,same_party,cand2_name,cand1_prob,cand1_votes,cand2_votes,lean,gcb,rcv,environment,trump_approve,trump_net,group_type,group,electorate_share,votes,county_fips,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
topline,WV-SEN,senate,Rachel Anderson,Shelley Moore Capito,-38.34,0.0,100.0,Safe R,164534,369139,0,533673.0,30.83,69.17,0.0,,,0.0,0,0.0,,,0.0,0.0,0.0,-41.99,5.32,False,-36.67,58.1,19.5,,,,,,,,,,,
demographic,,,,,,,,,135498,348437,0,,28.0,72.0,0.0,,,0.0,0,,,,,,,,,,,,,race,White,90.68,483935.0,,,,,,,
demographic,,,,,,,,,17437,6127,0,,74.0,26.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Black,4.42,23563.0,,,,,,,
demographic,,,,,,,,,4043,4746,0,,46.0,54.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Hispanic,1.65,8789.0,,,,,,,
demographic,,,,,,,,,2918,3162,0,,48.0,52.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Asian,1.14,6080.0,,,,,,,
demographic,,,,,,,,,4457,6414,0,,41.0,59.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Native,2.04,10871.0,,,,,,,
demographic,,,,,,,,,178,257,0,,41.0,59.0,0.0,,,0.0,0,,,,,,,,,,,,,race,Pacific Islander,0.08,435.0,,,,,,,
demographic,,,,,,,,,32499,52540,0,,38.2,61.8,0.0,,,0.0,0,,,,,,,,,,,,,age,20-29,15.93,85038.0,,,,,,,
demographic,,,,,,,,,28204,51884,0,,35.2,64.8,0.0,,,0.0,0,,,,,,,,,,,,,age,30-39,15.01,80088.0,,,,,,,
demographic,,,,,,,,,25971,59978,0,,30.2,69.8,0.0,,,0.0,0,,,,,,,,,,,,,age,40-49,16.11,85949.0,,,,,,,
demographic,,,,,,,,,24862,66486,0,,27.2,72.8,0.0,,,0.0,0,,,,,,,,,,,,,age,50-59,17.12,91348.0,,,,,,,
demographic,,,,,,,,,26348,70462,0,,27.2,72.8,0.0,,,0.0,0,,,,,,,,,,,,,age,60-69,18.14,96811.0,,,,,,,
demographic,,,,,,,,,17826,45349,0,,28.2,71.8,0.0,,,0.0,0,,,,,,,,,,,,,age,70-79,11.84,63175.0,,,,,,,
demographic,,,,,,,,,8822,22442,0,,28.2,71.8,0.0,,,0.0,0,,,,,,,,,,,,,age,80+,5.86,31264.0,,,,,,,
demographic,,,,,,,,,19779,41918,0,,32.1,67.9,0.0,,,0.0,0,,,,,,,,,,,,,education,No HS,11.56,61698.0,,,,,,,
demographic,,,,,,,,,57048,153786,0,,27.1,72.9,0.0,,,0.0,0,,,,,,,,,,,,,education,HS grad,39.51,210834.0,,,,,,,
demographic,,,,,,,,,28286,69057,0,,29.1,70.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Some college,18.24,97343.0,,,,,,,
demographic,,,,,,,,,12803,29792,0,,30.1,69.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Associate,7.98,42595.0,,,,,,,
demographic,,,,,,,,,25994,46095,0,,36.1,63.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Bachelor,13.51,72088.0,,,,,,,
demographic,,,,,,,,,14914,20546,0,,42.1,57.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Master,6.64,35460.0,,,,,,,
demographic,,,,,,,,,3102,4642,0,,40.1,59.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Professional,1.45,7744.0,,,,,,,
demographic,,,,,,,,,2605,3307,0,,44.1,55.9,0.0,,,0.0,0,,,,,,,,,,,,,education,Doctorate,1.11,5912.0,,,,,,,
demographic,,,,,,,,,12231,22204,0,,35.5,64.5,0.0,,,0.0,0,,,,,,,,,,,,,income,<$10k,6.45,34436.0,,,,,,,
demographic,,,,,,,,,11156,21163,0,,34.5,65.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$10-15k,6.06,32320.0,,,,,,,
demographic,,,,,,,,,9448,17923,0,,34.5,65.5,0.0,,,0.0,0,,,,,,,,,,,,,income,$15-20k,5.13,27371.0,,,,,,,
