date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-42.77,0.0,100.0,Safe R,-45.24,3.11,-42.77,-46.96,4.19,28.62,71.38,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-44.16,-0.64,62.0,27.5,25.6,71.6,43.6,45.6,38.6,38.6,35.6,32.6,27.6,24.6,24.6,25.6,25.6,29.2,24.2,26.2,27.2,33.2,39.2,37.2,41.2,33.7,32.7,32.7,31.7,30.7,29.7,28.7,27.7,27.7,26.7,26.7,26.7,27.7,27.7,28.7,29.7
2026-01-02,305,-42.77,0.0,100.0,Safe R,-45.24,3.11,-42.77,-46.96,4.19,28.62,71.38,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-44.16,-0.64,62.0,27.5,25.6,71.6,43.6,45.6,38.6,38.6,35.6,32.6,27.6,24.6,24.6,25.6,25.6,29.2,24.2,26.2,27.2,33.2,39.2,37.2,41.2,33.7,32.7,32.7,31.7,30.7,29.7,28.7,27.7,27.7,26.7,26.7,26.7,27.7,27.7,28.7,29.7
2026-01-03,304,-42.77,0.0,100.0,Safe R,-45.24,3.11,-42.77,-46.96,4.19,28.62,71.38,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-44.16,-0.64,62.0,27.5,25.6,71.6,43.6,45.6,38.6,38.6,35.6,32.6,27.6,24.6,24.6,25.6,25.6,29.2,24.2,26.2,27.2,33.2,39.2,37.2,41.2,33.7,32.7,32.7,31.7,30.7,29.7,28.7,27.7,27.7,26.7,26.7,26.7,27.7,27.7,28.7,29.7
2026-01-04,303,-42.87,0.0,100.0,Safe R,-45.27,3.04,-42.87,-46.96,4.09,28.57,71.43,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-44.23,-0.64,62.2,27.8,25.5,71.5,43.5,45.5,38.5,38.5,35.6,32.6,27.6,24.6,24.6,25.6,25.6,29.2,24.2,26.2,27.2,33.2,39.2,37.2,41.2,33.7,32.7,32.7,31.7,30.7,29.7,28.7,27.7,27.7,26.7,26.7,26.7,27.7,27.7,28.7,29.7
2026-01-05,302,-42.81,0.0,100.0,Safe R,-45.25,3.08,-42.81,-46.96,4.15,28.6,71.4,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-44.19,-0.64,62.1,27.7,25.5,71.5,43.5,45.5,38.5,38.5,35.6,32.6,27.6,24.6,24.6,25.6,25.6,29.2,24.2,26.2,27.2,33.2,39.2,37.2,41.2,33.7,32.7,32.7,31.7,30.7,29.7,28.7,27.7,27.7,26.7,26.7,26.7,27.7,27.7,28.7,29.7
2026-01-06,301,-42.81,0.0,100.0,Safe R,-45.25,3.08,-42.81,-46.96,4.15,28.6,71.4,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-44.19,-0.64,62.1,27.7,25.5,71.5,43.5,45.5,38.5,38.5,35.6,32.6,27.6,24.6,24.6,25.6,25.6,29.2,24.2,26.2,27.2,33.2,39.2,37.2,41.2,33.7,32.7,32.7,31.7,30.7,29.7,28.7,27.7,27.7,26.7,26.7,26.7,27.7,27.7,28.7,29.7
2026-01-07,300,-42.81,0.0,100.0,Safe R,-45.25,3.08,-42.81,-46.96,4.15,28.6,71.4,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-44.19,-0.64,62.1,27.6,25.5,71.5,43.5,45.5,38.5,38.5,35.6,32.6,27.6,24.6,24.6,25.6,25.6,29.2,24.2,26.2,27.2,33.2,39.2,37.2,41.2,33.7,32.7,32.7,31.7,30.7,29.7,28.7,27.7,27.7,26.7,26.7,26.7,27.7,27.7,28.7,29.7
2026-01-08,299,-42.81,0.0,100.0,Safe R,-45.25,3.08,-42.81,-46.96,4.15,28.6,71.4,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-44.19,-0.64,62.2,27.6,25.5,71.5,43.5,45.5,38.5,38.5,35.6,32.6,27.6,24.6,24.6,25.6,25.6,29.2,24.2,26.2,27.2,33.2,39.2,37.2,41.2,33.7,32.7,32.7,31.7,30.7,29.7,28.7,27.7,27.7,26.7,26.7,26.7,27.7,27.7,28.7,29.7
2026-01-09,298,-42.8,0.0,100.0,Safe R,-45.25,3.09,-42.8,-46.96,4.16,28.6,71.4,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-44.18,-0.64,62.1,27.7,25.5,71.5,43.5,45.5,38.5,38.5,35.6,32.6,27.6,24.6,24.6,25.6,25.6,29.2,24.2,26.2,27.2,33.2,39.2,37.2,41.2,33.7,32.7,32.7,31.7,30.7,29.7,28.7,27.7,27.7,26.7,26.7,26.7,27.7,27.7,28.7,29.7
2026-01-10,297,-42.8,0.0,100.0,Safe R,-45.25,3.09,-42.8,-46.96,4.16,28.6,71.4,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-44.18,-0.64,62.1,27.7,25.5,71.5,43.5,45.5,38.5,38.5,35.6,32.6,27.6,24.6,24.6,25.6,25.6,29.2,24.2,26.2,27.2,33.2,39.2,37.2,41.2,33.7,32.7,32.7,31.7,30.7,29.7,28.7,27.7,27.7,26.7,26.7,26.7,27.7,27.7,28.7,29.7
2026-01-11,296,-42.85,0.0,100.0,Safe R,-45.26,3.05,-42.85,-46.96,4.11,28.57,71.43,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-44.22,-0.64,62.1,27.5,25.5,71.5,43.5,45.5,38.5,38.5,35.6,32.6,27.6,24.6,24.6,25.6,25.6,29.2,24.2,26.2,27.2,33.2,39.2,37.2,41.2,33.7,32.7,32.7,31.7,30.7,29.7,28.7,27.7,27.7,26.7,26.7,26.7,27.7,27.7,28.7,29.7
2026-01-12,295,-42.78,0.0,100.0,Safe R,-45.24,3.1,-42.78,-46.96,4.18,28.61,71.39,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,0,0,0,-44.17,-0.64,62.0,27.3,25.6,71.6,43.6,45.6,38.6,38.6,35.6,32.6,27.6,24.6,24.6,25.6,25.6,29.2,24.2,26.2,27.2,33.2,39.2,37.2,41.2,33.7,32.7,32.7,31.7,30.7,29.7,28.7,27.7,27.7,26.7,26.7,26.7,27.7,27.7,28.7,29.7
