date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-43.54,0.0,100.0,Safe R,-45.44,3.18,-43.54,-46.96,3.41,28.23,71.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.73,-1.28,62.1,27.6,25.2,71.2,43.2,45.2,38.2,38.2,35.2,32.2,27.2,24.2,24.2,25.2,25.2,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-02,305,-43.54,0.0,100.0,Safe R,-45.44,3.18,-43.54,-46.96,3.41,28.23,71.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.73,-1.28,62.1,27.6,25.2,71.2,43.2,45.2,38.2,38.2,35.2,32.2,27.2,24.2,24.2,25.2,25.2,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-03,304,-43.53,0.0,100.0,Safe R,-45.44,3.19,-43.53,-46.96,3.43,28.23,71.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.72,-1.28,62.1,27.6,25.2,71.2,43.2,45.2,38.2,38.2,35.2,32.2,27.2,24.2,24.2,25.2,25.2,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-04,303,-43.61,0.0,100.0,Safe R,-45.46,3.13,-43.61,-46.96,3.35,28.2,71.8,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.78,-1.28,62.2,27.8,25.1,71.1,43.1,45.1,38.1,38.1,35.2,32.2,27.2,24.2,24.2,25.2,25.2,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-05,302,-43.56,0.0,100.0,Safe R,-45.45,3.17,-43.56,-46.96,3.4,28.22,71.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.74,-1.28,62.2,27.8,25.2,71.2,43.2,45.2,38.2,38.2,35.2,32.2,27.2,24.2,24.2,25.2,25.2,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-06,301,-43.56,0.0,100.0,Safe R,-45.45,3.17,-43.56,-46.96,3.4,28.22,71.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.74,-1.28,62.2,27.8,25.2,71.2,43.2,45.2,38.2,38.2,35.2,32.2,27.2,24.2,24.2,25.2,25.2,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-07,300,-43.56,0.0,100.0,Safe R,-45.45,3.17,-43.56,-46.96,3.4,28.22,71.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.74,-1.28,62.2,27.7,25.2,71.2,43.2,45.2,38.2,38.2,35.2,32.2,27.2,24.2,24.2,25.2,25.2,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-08,299,-43.56,0.0,100.0,Safe R,-45.45,3.17,-43.56,-46.96,3.4,28.22,71.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.74,-1.28,62.2,27.7,25.2,71.2,43.2,45.2,38.2,38.2,35.2,32.2,27.2,24.2,24.2,25.2,25.2,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-09,298,-43.56,0.0,100.0,Safe R,-45.45,3.17,-43.56,-46.96,3.4,28.22,71.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.74,-1.28,62.2,27.7,25.2,71.2,43.2,45.2,38.2,38.2,35.2,32.2,27.2,24.2,24.2,25.2,25.2,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-10,297,-43.56,0.0,100.0,Safe R,-45.45,3.17,-43.56,-46.96,3.4,28.22,71.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.74,-1.28,62.2,27.7,25.2,71.2,43.2,45.2,38.2,38.2,35.2,32.2,27.2,24.2,24.2,25.2,25.2,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-11,296,-43.58,0.0,100.0,Safe R,-45.45,3.15,-43.58,-46.96,3.38,28.21,71.79,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.76,-1.28,62.1,27.5,25.2,71.2,43.2,45.2,38.2,38.2,35.2,32.2,27.2,24.2,24.2,25.2,25.2,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-12,295,-43.53,0.0,100.0,Safe R,-45.44,3.19,-43.53,-46.96,3.43,28.23,71.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.72,-1.28,62.0,27.4,25.2,71.2,43.2,45.2,38.2,38.2,35.2,32.2,27.2,24.2,24.2,25.2,25.2,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-13,294,-43.56,0.0,100.0,Safe R,-45.45,3.17,-43.56,-46.96,3.4,28.22,71.78,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.74,-1.28,61.9,27.2,25.2,71.2,43.2,45.2,38.2,38.2,35.2,32.2,27.2,24.2,24.2,25.2,25.2,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-14,293,-43.54,0.0,100.0,Safe R,-45.44,3.18,-43.54,-46.96,3.41,28.23,71.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.73,-1.28,62.0,27.3,25.2,71.2,43.2,45.2,38.2,38.2,35.2,32.2,27.2,24.2,24.2,25.2,25.2,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-15,292,-43.52,0.0,100.0,Safe R,-45.44,3.2,-43.52,-46.96,3.44,28.24,71.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.71,-1.28,62.0,27.3,25.2,71.2,43.2,45.2,38.2,38.2,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-16,291,-43.52,0.0,100.0,Safe R,-45.44,3.2,-43.52,-46.96,3.44,28.24,71.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.71,-1.28,62.0,27.2,25.2,71.2,43.2,45.2,38.2,38.2,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
2026-01-17,290,-43.47,0.0,100.0,Safe R,-45.43,3.24,-43.47,-46.96,3.49,28.27,71.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.67,-1.28,61.9,27.1,25.2,71.2,43.2,45.2,38.2,38.2,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.9,23.9,25.9,26.9,32.9,38.9,36.9,40.9,33.4,32.4,32.4,31.4,30.4,29.4,28.4,27.4,27.4,26.4,26.4,26.4,27.4,27.4,28.4,29.4
2026-01-18,289,-43.53,0.0,100.0,Safe R,-45.44,3.19,-43.53,-46.96,3.43,28.23,71.77,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-44.72,-1.28,61.9,27.2,25.2,71.2,43.2,45.2,38.2,38.2,35.2,32.2,27.2,24.2,24.2,25.2,25.2,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,33.3,32.3,32.3,31.3,30.3,29.3,28.3,27.3,27.3,26.3,26.3,26.3,27.3,27.3,28.3,29.3
