race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Bernadette Wilson,DEM,REP,,REP,-6.73,33.0,67.0,Lean R,-13.27,5.29,-9.04,0.0,0.0,-1.06,-13.8,7.07,True,False,,,0.0,0.0,,,0.0,presumptive,projected,46.99,37.94,3,8.06,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.02,48.98,8.0,101719,115811,18916,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-19.46,2.9,97.1,Safe R,-29.66,5.29,-21.48,0.0,3.37,-0.48,-30.88,11.42,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.99,49.01,2,-8.01,0.15,0,13792994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.27,59.73,0.0,638518,947045,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-25.96,0.6,99.4,Safe R,-30.62,5.29,-25.96,0.0,-0.13,-0.51,-31.57,5.6,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.02,62.98,0.0,310754,528702,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,8.14,78.6,21.4,Likely D,-4.25,5.29,8.35,0.94,6.01,0.36,-5.59,13.72,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,48.87,41.57,12,7.54,0.262,9827820,2787170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.07,45.93,0.0,1282765,1089758,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,28.7,99.7,0.3,Safe D,23.42,5.29,29.79,0.19,0.0,0.89,20.82,7.89,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,57.29,33.73,4,23.57,0.175,22373949,17445485,0,10580853,2163517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.35,35.65,0.0,7142018,3956525,0,0,11098543
CO-GOV,governor,CO,GOV,Phil Weiser,Victor Marx,DEM,REP,,DEM,17.8,95.8,4.2,Safe D,11.48,5.29,17.39,0.64,0.0,-0.01,11.29,6.51,False,False,IND,Greg Lopez,3.6,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,6951032,2935521,84692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.78,39.62,0.0,1268983,885482,0,80457,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,19.68,97.2,2.8,Safe D,15.88,5.29,20.06,0.0,-1.03,-0.09,14.76,4.92,False,False,,,0.0,0.0,,,0.0,presumptive,confirmed,49.61,31.46,2,18.15,0.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.84,40.16,0.0,736728,494412,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-6.57,26.1,73.9,Lean R,-10.43,5.29,-7.26,-2.16,-0.47,0.51,-13.22,6.65,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,38.12,42.8,17,-4.84,0.283,5531882,99442171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.71,53.29,0.0,3575918,4078908,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,1.66,56.4,43.6,Toss-up,-1.84,5.29,0.86,-2.47,0.0,-0.12,-2.21,3.86,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.44,45.91,6,4.65,0.21,2665880,73526815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.83,49.17,0.0,1867940,1807106,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.22,99.9,0.1,Safe D,25.72,5.29,32.22,0.0,1.67,-0.46,23.56,8.66,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.11,33.89,0.0,239112,122578,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,5.39,70.0,30.0,Lean D,-12.13,5.29,5.37,2.06,10.86,-0.71,-13.45,18.83,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.43,44.02,5,5.45,0.204,19860206,1218702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.69,47.31,0.0,613595,550859,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-45.66,0.0,100.0,Safe R,-36.27,5.29,-45.66,-1.82,-12.37,-0.49,-37.52,-8.13,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,136953,2057743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.17,72.83,0.0,172147,461396,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,20.06,97.4,2.6,Safe D,12.91,5.29,20.02,1.84,-0.02,0.0,11.14,8.92,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.3,0.15,25619035,2166962,0,3141018,127990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.03,39.97,0.0,2374012,1580725,0,0,3954737
KS-GOV,governor,KS,GOV,Cindy Holscher,Ty Masterson,DEM,REP,,DEM,-11.56,13.0,87.0,Likely R,-16.42,5.29,-11.56,0.0,0.0,-0.43,-16.41,4.85,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.22,55.78,0.0,410926,518388,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,31.46,99.9,0.1,Safe D,27.8,5.29,33.87,0.0,1.13,-0.34,25.91,5.55,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,53.79,31.4,6,22.39,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.73,34.27,0.0,1598284,833284,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,36.44,100.0,0.0,Safe D,30.37,5.29,39.01,0.0,3.43,-0.08,29.51,6.93,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.9,28.0,1,21.9,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.22,31.78,0.0,1450926,675907,0,0,2126834
ME-GOV,governor,ME,GOV,Hannah Pingree,Robert Charles,DEM,REP,,DEM,11.85,87.6,12.4,Likely D,7.36,5.29,11.68,0.0,0.0,-0.97,7.09,4.76,False,False,IND,Rick Bennett,3.21,0.0,,,0.0,confirmed,confirmed,52.17,38.68,3,13.48,0.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.13,42.66,0.0,315019,248263,0,18681,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,12.13,88.1,11.9,Likely D,-0.43,5.29,14.42,0.21,9.97,-0.63,-1.44,13.57,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,45.31,38.89,20,6.58,0.292,5958887,4492470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.07,43.93,0.0,2222564,1741698,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Mike Lindell,DEM,REP,,DEM,11.96,87.8,12.2,Likely D,4.83,5.29,10.87,1.59,-0.12,-0.72,4.34,7.62,False,False,,,0.0,0.0,,,0.0,presumptive,projected,52.86,34.69,3,18.17,0.15,9312380,1078103,0,4480911,87680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.98,44.02,0.0,1275117,1002627,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-13.75,9.1,90.9,Likely R,-20.91,5.29,-19.35,0.0,-3.25,-0.48,-20.84,7.09,False,False,IND,Brett Lindstrom,12.0,0.0,,,0.0,confirmed,confirmed,33.0,38.0,1,-8.0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.95,50.05,0.0,251622,331828,0,79561,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-11.78,12.6,87.4,Likely R,3.63,5.29,-13.04,-1.31,-19.79,-0.86,2.82,-14.6,False,False,,,0.0,0.0,,,0.0,confirmed,presumptive,38.17,44.73,5,-6.56,0.194,606192,3694856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.11,55.89,0.0,255108,323224,0,0,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,8.52,79.6,20.4,Likely D,7.41,5.29,9.38,1.95,-6.39,1.12,6.14,2.38,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,46.0,45.0,1,4.0,0.161,13910580,987856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.26,45.74,0.0,350719,295658,0,0,646377
NV-GOV,governor,NV,GOV,Aaron Ford,Joe Lombardo,DEM,REP,REP,REP,2.84,60.9,39.1,Lean D,-1.57,5.29,5.44,0.47,0.85,0.4,-3.15,5.99,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.14,49.05,10,-4.94,0.25,4285307,2275075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.42,48.58,0.0,534300,504767,0,0,1039067
NY-GOV,governor,NY,GOV,Kathy Hochul,Bruce Blakeman,DEM,REP,DEM,DEM,13.91,91.2,8.8,Likely D,15.56,5.29,13.64,0.16,-7.5,0.13,12.68,1.23,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.63,36.11,15,14.64,0.276,16594119,13445025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.96,43.04,0.0,3311173,2502325,0,0,5813499
OH-GOV,governor,OH,GOV,Amy Acton,Vivek Ramaswamy,DEM,REP,,REP,-4.37,33.5,66.5,Lean R,-10.38,5.29,-6.26,-0.48,0.0,-0.69,-11.31,6.94,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,47.65,47.15,16,0.48,0.28,15928993,30306297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.81,52.19,0.0,1929542,2105970,0,0,4035512
OK-GOV,governor,OK,GOV,Cyndi Munson,Gentner Drummond,DEM,REP,,REP,-30.97,0.1,99.9,Safe R,-34.86,5.29,-30.97,0.0,-0.7,-0.7,-34.95,3.98,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.51,65.49,0.0,378357,717865,0,0,1096222
OR-GOV,governor,OR,GOV,Tina Kotek,Christine Drazan,DEM,REP,DEM,DEM,5.7,71.1,28.9,Lean D,15.18,5.29,6.72,0.0,-13.29,-0.46,14.89,-9.19,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,44.2,47.13,3,-0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.85,47.15,0.0,830682,741092,0,0,1571774
PA-GOV,governor,PA,GOV,Josh Shapiro,Stacy Garrity,DEM,REP,DEM,DEM,17.27,95.4,4.6,Safe D,-0.99,5.29,17.34,1.95,11.61,-0.53,-1.75,19.03,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,52.77,35.68,11,17.09,0.257,34960533,2545436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.64,41.36,0.0,2887044,2036574,0,0,4923617
RI-GOV,governor,RI,GOV,Helena Foulkes,Elaine Pelino,DEM,REP,,DEM,20.32,97.6,2.4,Safe D,15.75,5.29,20.84,0.0,0.0,-0.2,14.16,6.16,False,False,,,0.0,0.0,,,0.0,presumptive,projected,38.59,21.21,2,17.38,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.16,39.84,0.0,216187,143161,0,0,359348
SC-GOV,governor,SC,GOV,Jermaine Johnson,Alan Wilson,DEM,REP,,REP,-10.3,15.8,84.2,Likely R,-16.61,5.29,-10.16,1.47,0.07,-0.39,-18.12,7.82,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,37.0,45.0,1,-11.0,0.166,753609,62585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.85,55.15,0.0,799963,983735,0,0,1783698
SD-GOV,governor,SD,GOV,Dan Ahlers,Larry Rhoden,DEM,REP,REP,REP,-25.78,0.6,99.4,Safe R,-29.41,5.29,-25.78,0.0,-0.64,-1.02,-29.98,4.2,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.11,62.89,0.0,110766,187707,0,0,298473
TN-GOV,governor,TN,GOV,Jerri Green,Marsha Blackburn,DEM,REP,,REP,-20.7,2.2,97.8,Safe R,-28.6,5.29,-20.12,0.0,3.73,-0.54,-30.12,9.42,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,27.01,51.0,3,-23.99,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.65,60.35,0.0,850425,1294335,0,0,2144759
TX-GOV,governor,TX,GOV,Gina Hinojosa,Greg Abbott,DEM,REP,REP,REP,-8.67,19.9,80.1,Likely R,-11.93,5.29,-10.52,-1.58,-3.33,1.04,-13.88,5.21,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,44.63,48.81,20,-4.17,0.292,8589462,71434049,0,3002416,67461299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.67,54.33,0.0,3645607,4337562,0,0,7983170
VT-GOV,governor,VT,GOV,Amanda Janoo,Phil Scott,DEM,REP,REP,REP,-22.65,1.4,98.6,Safe R,33.44,5.29,-24.8,0.0,-62.58,-0.95,32.77,-55.42,False,False,,,0.0,0.0,,,0.0,projected,confirmed,30.95,43.32,2,-12.37,0.173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.67,61.33,0.0,100007,158589,0,0,258595
WI-GOV,governor,WI,GOV,Francesca Hong,Tom Tiffany,DEM,REP,,DEM,3.48,63.3,36.7,Lean D,-0.43,5.29,4.66,0.18,0.28,-0.66,-0.87,4.35,False,False,,,0.0,0.0,,,0.0,projected,presumptive,42.64,43.55,7,-0.66,0.223,13951,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.74,48.26,0.0,1239695,1156347,0,0,2396043
WY-GOV,governor,WY,GOV,Kenneth Casner,Megan Degenfelder,DEM,REP,,REP,-39.61,0.0,100.0,Safe R,-46.77,5.29,-39.61,0.0,2.51,-0.64,-46.96,7.35,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,,,0,,0.0,0,5226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.19,69.81,0.0,56866,131468,0,0,188334
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-1.87,45.1,54.9,Toss-up,-11.5,5.29,-2.73,0.43,4.11,-1.06,-13.8,11.93,True,False,,,0.0,0.0,,,0.0,presumptive,confirmed,46.31,46.61,12,-0.31,0.262,18545132,9136967,0,4636755,7295069,0,2677216,5265014,13908377,3932803,0,6750626,558386,0,603646,1998758,0,0,0,0,0,0,0,45.04,46.96,8.0,106495,111035,18916,0,236446
AL-SEN,senate,AL,SEN,Everett Wess,Barry Moore,DEM,REP,,REP,-22.88,1.3,98.7,Safe R,-26.81,5.29,-24.27,-3.2,0.93,-0.48,-30.88,8.01,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,32.0,47.0,1,-15.0,0.15,83341,3787330,0,-10011,627788,0,3019,17107589,94747,3284673,0,4247,346554,0,0,881598,0,70643,50000,0,0,360928,0,38.56,61.44,0.0,611430,974133,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-23.86,1.0,99.0,Safe R,-29.22,5.29,-26.97,-0.87,-1.67,-0.51,-31.57,7.7,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,42.86,46.25,2,-6.27,0.15,2269114,6233117,0,863578,9931885,0,0,3244245,1405536,3752101,0,807603,552197,0,20060,1191500,0,0,0,0,0,73959,0,38.07,61.93,0.0,319562,519895,0,0,839457
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,24.78,99.2,0.8,Safe D,13.1,5.29,24.78,2.84,3.55,-0.01,11.29,13.49,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,8119380,138147,0,2083870,50021,0,510004,0,7471143,88913,0,1302169,28371,0,958273,999,0,0,2200,0,0,0,0,62.39,37.61,0.0,1394365,840557,0,0,2234922
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,24.87,99.2,0.8,Safe D,15.57,5.29,24.87,2.63,1.67,-0.28,14.84,10.03,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,,,0,,0.0,3940137,70152,0,4705684,38004,0,0,0,1419652,32148,0,52510,3182,0,1310377,300,0,0,54260,0,0,54250,0,62.44,37.56,0.0,223234,134309,0,0,357542
FL-SEN,senate,FL,SEN,Alexander Vindman,Ashley Moody,DEM,REP,REP,REP,-5.01,31.3,68.7,Lean R,-8.77,5.29,-4.37,0.26,-1.67,0.51,-13.22,8.22,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,41.56,47.23,11,-6.85,0.257,16273862,11259074,0,7253859,8482821,0,26675,559495,9020003,2776253,0,10039367,1520356,0,216105,2083000,0,20,0,0,2517,0,0,47.5,52.5,0.0,3635825,4019001,0,0,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,12.33,88.5,11.5,Likely D,-0.87,5.29,12.73,1.7,6.73,-0.12,-2.21,14.54,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,53.98,43.02,11,11.17,0.257,77279766,7409350,0,42587451,2079981,0,906052,1615544,39682882,5932539,0,39110515,2085895,0,931316,495632,0,0,65000,0,0,461916,0,56.16,43.84,0.0,2064082,1610964,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-2.66,39.8,60.2,Lean R,-7.43,5.29,-3.87,-0.09,-0.93,-0.71,-13.45,10.79,False,False,LIB,,0.0,0.0,,,0.0,confirmed,confirmed,46.39,47.27,9,-1.05,0.242,6276527,10217845,0,2362314,6749491,0,12599462,4658175,3914213,5396429,0,2726556,1052135,0,440127,2232367,0,0,0,0,0,0,0,47.39,49.98,2.63,551847,581982,30625,0,1164454
ID-SEN,senate,ID,SEN,(No Democrat),Jim Risch,DEM,REP,REP,REP,-27.09,0.4,99.6,Safe R,-32.3,5.29,-30.31,-1.14,-1.67,-0.49,-37.52,10.43,False,True,IND,Todd Achilles,36.45,0.4,,,0.0,,confirmed,35.63,41.47,2,-8.84,0.15,0,3357516,692245,0,3535956,194226,0,0,0,2241925,506311,0,139910,115721,0,959329,10000,0,0,10500,0,0,0,0.0,63.55,0.0,0,402595,0,230948,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,20.74,97.8,2.2,Safe D,15.14,5.29,20.74,0.32,0.0,0.0,11.14,9.61,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,5906599,2459890,0,1107958,1512424,0,10437456,11068156,4798641,947466,0,1182892,27050,0,426634,12325,0,0,2000000,0,0,2000000,0,60.37,39.63,0.0,2387571,1567166,0,0,3954737
KS-SEN,senate,KS,SEN,Adam Hamilton,Roger Marshall,DEM,REP,REP,REP,-10.81,14.6,85.4,Likely R,-15.21,5.29,-11.46,-0.02,-1.09,-0.43,-16.41,5.6,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.1,47.22,2,-7.13,0.15,4169078,4009075,0,1730621,5388078,0,0,830900,2438457,326015,0,767189,151384,0,17500,1555250,0,50050,0,0,50000,0,0,44.6,55.4,0.0,414432,514881,0,0,929314
KY-SEN,senate,KY,SEN,Charles Booker,Andy Barr,DEM,REP,,REP,-28.89,0.2,99.8,Safe R,-30.07,5.29,-31.25,-0.86,-4.86,-0.75,-31.03,2.14,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,37.0,49.5,1,-15.5,0.15,1099509,9981055,0,309623,2305546,0,8306596,6980575,789887,11368587,0,654554,729552,0,24750,1995311,0,0,0,0,89868,0,0,35.56,64.44,0.0,516345,935824,0,0,1452169
LA-SEN,senate,LA,SEN,Jamie Davis,Julia Letlow,DEM,REP,,REP,-23.97,1.0,99.0,Safe R,-21.43,5.29,-23.97,-0.45,-7.1,-0.28,-22.36,-1.61,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,1983548,6210122,0,479104,1427072,0,10861766,12093658,1504444,4783049,0,1699034,127995,0,0,824000,0,10000,0,0,10000,0,0,38.01,61.99,0.0,534061,870822,0,0,1404882
MA-SEN,senate,MA,SEN,Ed Markey,John Deaton,DEM,REP,DEM,DEM,32.89,99.9,0.1,Safe D,29.18,5.29,36.46,0.66,1.67,-0.34,25.91,6.98,False,False,,,0.0,0.0,,,0.0,presumptive,presumptive,52.51,32.08,7,20.45,0.223,4848657,1498561,0,2227617,726604,0,0,1482275,4431727,771958,0,757410,61944,0,548650,425,0,0,1053414,0,0,1005000,0,66.45,33.55,0.0,1615668,815900,0,0,2431568
ME-SEN,senate,ME,SEN,Troy Jackson,Susan Collins,DEM,REP,REP,REP,0.1,50.4,49.6,Toss-up,8.55,5.29,-0.68,0.0,-13.55,-0.97,7.09,-6.99,False,False,,,0.0,0.0,,,0.0,projected,confirmed,49.19,44.91,6,2.86,0.22,0,16169827,0,0,11038115,0,2385916,7444753,0,7708021,0,0,1425763,0,0,1263550,0,0,0,0,0,0,0,50.05,49.95,0.0,291276,290686,0,0,581962
MI-SEN,senate,MI,SEN,Abdul El-Sayed,Mike Rogers,DEM,REP,,DEM,5.2,69.4,30.6,Lean D,2.96,5.29,7.77,-0.29,0.44,-0.63,-1.44,6.63,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,43.55,44.9,18,-1.23,0.286,14528336,10898177,0,2552763,4473237,0,5174961,39230240,11975573,6680643,0,4143279,2220167,0,71845,849227,0,14000,0,0,0,0,0,52.6,47.4,0.0,2085112,1879149,0,0,3964262
MN-SEN,senate,MN,SEN,Peggy Flanagan,Michele Tafoya,DEM,REP,,DEM,10.28,84.1,15.9,Likely D,6.74,5.29,11.24,-0.06,0.0,-0.72,4.34,5.93,False,False,,,0.0,0.0,,,0.0,projected,presumptive,49.3,41.8,6,6.64,0.21,6516273,5292553,0,1058604,1333066,0,1744564,7248554,5457669,3959487,0,2913200,2435583,0,176917,229000,0,7000,7878,0,0,294847,0,55.14,44.86,0.0,1255917,1021827,0,0,2277744
MS-SEN,senate,MS,SEN,Scott Colom,Cindy Hyde-Smith,DEM,REP,REP,REP,-13.25,9.9,90.1,Likely R,-21.48,5.29,-14.18,-0.24,2.62,-0.37,-23.15,9.89,False,False,IND,Ty Pinkins,6.0,0.0,,,0.0,confirmed,confirmed,39.0,42.0,1,-6.0,0.15,2384921,3825455,98038,847046,2535896,5352,1248442,98645,1537875,1759323,98301,351461,98642,64618,312330,1182050,0,25193,0,0,61083,60000,0,40.77,53.23,0.0,350473,457555,0,51576,859605
