race_code,round,cand_id,name,party,slot,pct,votes,status,exhausted_pct
AK-GOV,1,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,45.45,107474,active,0.0
AK-GOV,1,C-0074,Bernadette Wilson,REP,rep,21.47,50776,active,0.0
AK-GOV,1,C-1061,Dave Bronson,REP,,17.39,41129,active,0.0
AK-GOV,1,C-1068,Candice English,REP,,15.68,37067,eliminated,0.0
AK-GOV,2,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,47.29,111813,active,4.55
AK-GOV,2,C-0074,Bernadette Wilson,REP,rep,26.61,62909,active,4.55
AK-GOV,2,C-1061,Dave Bronson,REP,,21.55,50956,eliminated,4.55
AK-GOV,3,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,49.81,117779,elected,10.81
AK-GOV,3,C-0074,Bernadette Wilson,REP,rep,39.37,93097,active,10.81
AK-SEN,1,C-0001,Mary Peltola,DEM,dem,49.48,116988,active,0.0
AK-SEN,1,C-0002,Dan S. Sullivan,REP,rep,46.89,110868,active,0.0
AK-SEN,1,C-1062,Daniel J. Sullivan Jr.,NPA,,2.5,5911,active,0.0
AK-SEN,1,C-1066,Gerald L. Heikes,REP,,1.13,2678,eliminated,0.0
AK-SEN,2,C-0001,Mary Peltola,DEM,dem,49.57,117218,active,0.23
AK-SEN,2,C-0002,Dan S. Sullivan,REP,rep,47.46,112207,active,0.23
AK-SEN,2,C-1062,Daniel J. Sullivan Jr.,NPA,,2.74,6485,eliminated,0.23
AK-SEN,3,C-0001,Mary Peltola,DEM,dem,50.67,119812,elected,0.78
AK-SEN,3,C-0002,Dan S. Sullivan,REP,rep,48.55,114801,active,0.78
AK-01,1,C-0145,Nick Begich III,REP,rep,47.81,113038,active,0.0
AK-01,1,C-1013,Bill Hill,IND,ind,46.59,110167,active,0.0
AK-01,1,C-1063,Eric Hafner,DEM,,3.8,8985,active,0.0
AK-01,1,C-1070,Yaquelin Reynoso,DEM,,1.8,4256,eliminated,0.0
AK-01,2,C-0145,Nick Begich III,REP,rep,47.93,113336,active,0.36
AK-01,2,C-1013,Bill Hill,IND,ind,47.17,111534,active,0.36
AK-01,2,C-1063,Eric Hafner,DEM,,4.54,10725,eliminated,0.36
AK-01,3,C-0145,Nick Begich III,REP,rep,48.58,114873,active,1.27
AK-01,3,C-1013,Bill Hill,IND,ind,50.15,118577,elected,1.27
