chamber,dem_seats,count
House,31,1
House,78,1
House,102,1
House,116,1
House,118,1
House,120,1
House,127,1
House,128,2
House,130,1
House,132,1
House,133,1
House,134,1
House,135,2
House,137,1
House,138,1
House,139,1
House,140,3
House,141,1
House,142,2
House,143,1
House,144,1
House,145,4
House,146,2
House,147,3
House,148,1
House,150,2
House,151,4
House,152,4
House,153,5
House,154,5
House,155,3
House,156,4
House,157,2
House,158,4
House,159,9
House,160,8
House,161,4
House,162,4
House,163,4
House,164,6
House,165,8
House,166,7
House,167,5
House,168,12
House,169,11
House,170,13
House,171,12
House,172,11
House,173,6
House,174,10
House,175,16
House,176,10
House,177,18
House,178,12
House,179,19
House,180,16
House,181,18
House,182,20
House,183,19
House,184,20
House,185,17
House,186,17
House,187,36
House,188,27
House,189,22
House,190,41
House,191,37
House,192,31
House,193,50
House,194,47
House,195,55
House,196,49
House,197,62
House,198,63
House,199,64
House,200,75
House,201,76
House,202,78
House,203,98
House,204,105
House,205,97
House,206,98
House,207,97
House,208,119
House,209,131
House,210,126
House,211,123
House,212,151
House,213,120
House,214,142
House,215,137
House,216,146
House,217,121
House,218,150
House,219,152
House,220,139
House,221,150
House,222,154
House,223,154
House,224,147
House,225,151
House,226,142
House,227,151
House,228,152
House,229,143
House,230,136
House,231,144
House,232,129
House,233,138
House,234,139
House,235,126
House,236,122
House,237,106
House,238,141
House,239,111
House,240,112
House,241,96
House,242,109
House,243,117
House,244,123
House,245,126
House,246,98
House,247,93
House,248,77
House,249,83
House,250,90
House,251,92
House,252,81
House,253,72
House,254,65
House,255,89
House,256,74
House,257,64
House,258,77
House,259,73
House,260,63
House,261,56
House,262,58
House,263,63
House,264,62
House,265,56
House,266,59
House,267,50
House,268,60
House,269,54
House,270,57
House,271,40
House,272,54
House,273,47
House,274,37
House,275,44
House,276,39
House,277,35
House,278,38
House,279,35
House,280,37
House,281,36
House,282,32
House,283,27
House,284,39
House,285,28
House,286,34
House,287,17
House,288,19
House,289,42
House,290,23
House,291,23
House,292,21
House,293,23
House,294,23
House,295,28
House,296,19
House,297,16
House,298,17
House,299,20
House,300,17
House,301,26
House,302,21
House,303,22
House,304,12
House,305,8
House,306,11
House,307,4
House,308,14
House,309,12
House,310,20
House,311,10
House,312,19
House,313,17
House,314,6
House,315,10
House,316,10
House,317,19
House,318,6
House,319,15
House,320,11
House,321,12
House,322,12
House,323,13
House,324,11
House,325,10
House,326,3
House,327,13
House,328,4
House,329,4
House,330,6
House,331,2
House,332,7
House,333,3
House,334,6
House,335,9
House,336,11
House,337,8
House,338,6
House,339,4
House,340,6
House,341,10
House,342,3
House,343,7
House,344,2
House,345,5
House,346,7
House,347,3
House,348,4
House,349,1
House,350,12
House,351,3
House,352,5
House,353,2
House,354,6
House,355,2
House,356,1
House,357,4
House,358,1
House,359,2
House,360,1
House,361,3
House,362,4
House,363,4
House,364,1
House,365,2
House,366,3
House,367,2
House,368,3
House,369,2
House,370,1
House,373,2
House,378,1
House,380,1
House,382,1
House,384,2
House,389,1
House,393,1
House,396,1
Senate,34,3
Senate,35,10
Senate,36,19
Senate,37,19
Senate,38,30
Senate,39,43
Senate,40,61
Senate,41,110
Senate,42,171
Senate,43,297
Senate,44,439
Senate,45,578
Senate,46,630
Senate,47,624
Senate,48,704
Senate,49,687
Senate,50,701
Senate,51,648
Senate,52,632
Senate,53,602
Senate,54,618
Senate,55,567
Senate,56,585
Senate,57,535
Senate,58,375
Senate,59,153
Senate,60,61
Senate,61,53
Senate,62,15
Senate,63,17
Senate,64,5
Senate,65,6
Senate,66,1
Senate,69,1
Governors,6,1
Governors,7,5
Governors,8,2
Governors,9,17
Governors,10,38
Governors,11,53
Governors,12,63
Governors,13,84
Governors,14,101
Governors,15,139
Governors,16,156
Governors,17,210
Governors,18,229
Governors,19,255
Governors,20,323
Governors,21,365
Governors,22,460
Governors,23,502
Governors,24,620
Governors,25,714
Governors,26,883
Governors,27,1100
Governors,28,914
Governors,29,689
Governors,30,540
Governors,31,455
Governors,32,342
Governors,33,250
Governors,34,188
Governors,35,134
Governors,36,57
Governors,37,60
Governors,38,29
Governors,39,15
Governors,40,6
Governors,41,1
