cousub_fips,town_name,state,county_fips,town_margin_2024,lean,trump_approve,trump_disapprove,trump_net,demo_approval_adj,white_pct,black_pct,hisp_pct,asian_pct,native_pct,pacific_pct
0900104720,Bethel town,CT,09001,9.4,11.16,35.4,61.5,-26.1,0.7,74.2,2.6,10.8,5.7,0.1,0.0
0900108070,Bridgeport town,CT,09001,47.1,48.86,17.7,79.2,-61.5,-2.7,19.3,32.9,39.4,2.9,0.1,0.0
0900108980,Brookfield town,CT,09001,-4.09,-2.33,41.5,55.5,-13.9,1.3,81.6,1.6,6.8,5.1,0.0,0.0
0900118500,Danbury town,CT,09001,7.75,9.51,34.7,62.3,-27.6,-2.2,48.2,6.5,29.6,6.3,0.1,0.0
0900118850,Darien town,CT,09001,19.25,21.01,31.7,65.3,-33.6,1.5,85.3,0.8,5.4,5.6,0.1,0.0
0900123890,Easton town,CT,09001,10.19,11.95,35.6,61.4,-25.8,1.7,86.2,1.4,5.0,4.3,0.0,0.0
0900126620,Fairfield town,CT,09001,25.73,27.49,28.8,68.1,-39.3,1.4,83.4,1.8,7.1,4.5,0.0,0.0
0900133620,Greenwich town,CT,09001,16.25,18.01,32.4,64.5,-32.1,0.4,74.5,1.9,11.8,7.5,0.1,0.0
0900148620,Monroe town,CT,09001,-5.44,-3.68,42.2,54.8,-12.6,1.5,85.1,2.0,6.7,3.3,0.1,0.0
0900150580,New Canaan town,CT,09001,13.89,15.66,34.0,63.0,-29.0,1.6,85.9,1.1,4.7,5.6,0.0,0.0
0900150860,New Fairfield town,CT,09001,-10.22,-8.46,44.2,52.8,-8.5,1.5,86.8,1.0,7.1,1.9,0.1,0.0
0900152980,Newtown town,CT,09001,9.99,11.75,35.7,61.2,-25.5,1.7,86.2,2.3,5.6,2.7,0.1,0.0
0900156060,Norwalk town,CT,09001,29.04,30.8,26.1,70.9,-44.8,-1.4,52.5,12.1,27.1,5.4,0.1,0.0
0900163480,Redding town,CT,09001,30.02,31.78,27.3,69.7,-42.4,1.9,89.1,0.8,4.1,2.8,0.2,0.0
0900163970,Ridgefield town,CT,09001,27.48,29.24,28.2,68.7,-40.5,1.6,86.2,1.0,5.0,4.8,0.1,0.0
0900168170,Shelton town,CT,09001,-11.62,-9.86,44.7,52.3,-7.6,1.3,80.5,4.0,8.3,4.2,0.0,0.0
0900168310,Sherman town,CT,09001,9.19,10.95,36.2,60.7,-24.5,2.1,91.4,0.8,3.5,1.1,0.0,0.0
0900173070,Stamford town,CT,09001,27.17,28.93,26.9,70.1,-43.2,-1.3,51.4,11.8,25.3,8.5,0.1,0.0
0900174190,Stratford town,CT,09001,18.46,20.22,31.3,65.6,-34.3,0.2,59.0,16.4,18.2,2.5,0.1,0.0
0900177200,Trumbull town,CT,09001,5.08,6.84,37.5,59.4,-21.9,1.1,78.4,4.1,8.1,6.2,0.1,0.0
0900183430,Weston town,CT,09001,40.99,42.76,22.5,74.5,-52.0,1.6,84.3,1.4,5.0,5.5,0.0,0.0
0900183500,Westport town,CT,09001,44.89,46.66,20.8,76.2,-55.4,1.5,84.2,1.3,5.1,6.2,0.1,0.0
0900186370,Wilton town,CT,09001,31.32,33.08,26.5,70.4,-43.9,1.5,83.2,1.1,4.3,8.1,0.0,0.0
0900302060,Avon town,CT,09003,23.08,24.84,30.4,66.6,-36.1,1.4,80.2,1.9,4.0,10.7,0.1,0.0
0900304300,Berlin town,CT,09003,-9.31,-7.55,44.4,52.6,-8.1,1.8,88.4,1.2,4.5,3.3,0.0,0.0
