race_code,race_type,state,district,total_votes,dem_votes,rep_votes,ind_votes,oth_votes,dem_pct,rep_pct,ind_pct,oth_pct,oth_party,ind_name
AK-GOV,governor,AK,GOV,236446,106605,126057,0,3783,45.09,53.31,0.0,1.6,,
AL-GOV,governor,AL,GOV,1585563,630299,955264,0,0,39.75,60.25,0.0,0.0,,
AR-GOV,governor,AR,GOV,839457,311547,527910,0,0,37.11,62.89,0.0,0.0,,
AZ-GOV,governor,AZ,GOV,2372523,1272428,1100095,0,0,53.63,46.37,0.0,0.0,,
CA-GOV,governor,CA,GOV,11098543,7133600,3964943,0,0,64.28,35.72,0.0,0.0,,
CO-GOV,governor,CO,GOV,2234922,1353056,881865,0,0,60.54,39.46,0.0,0.0,,
CT-GOV,governor,CT,GOV,1231140,739444,491696,0,0,60.06,39.94,0.0,0.0,,
FL-GOV,governor,FL,GOV,7654826,3644790,4010036,0,0,47.61,52.39,0.0,0.0,,
GA-GOV,governor,GA,GOV,3675046,1922584,1752463,0,0,52.31,47.69,0.0,0.0,,
HI-GOV,governor,HI,GOV,361691,239249,122441,0,0,66.15,33.85,0.0,0.0,,
IA-GOV,governor,IA,GOV,1164454,604356,560098,0,0,51.9,48.1,0.0,0.0,,
ID-GOV,governor,ID,GOV,633543,178113,455430,0,0,28.11,71.89,0.0,0.0,,
IL-GOV,governor,IL,GOV,3954737,2344352,1610384,0,0,59.28,40.72,0.0,0.0,,
KS-GOV,governor,KS,GOV,929314,411988,517325,0,0,44.33,55.67,0.0,0.0,,
MA-GOV,governor,MA,GOV,2431568,1606098,825469,0,0,66.05,33.95,0.0,0.0,,
MD-GOV,governor,MD,GOV,2126834,1451921,674913,0,0,68.27,31.73,0.0,0.0,,
ME-GOV,governor,ME,GOV,581962,325564,256399,0,0,55.94,44.06,0.0,0.0,,
MI-GOV,governor,MI,GOV,3964262,2241482,1722780,0,0,56.54,43.46,0.0,0.0,,
MN-GOV,governor,MN,GOV,2277744,1249201,1028543,0,0,54.84,45.16,0.0,0.0,,
NE-GOV,governor,NE,GOV,663011,273663,389348,0,0,41.28,58.72,0.0,0.0,,
NH-GOV,governor,NH,GOV,578332,257266,321067,0,0,44.48,55.52,0.0,0.0,,
NM-GOV,governor,NM,GOV,646377,347580,298797,0,0,53.77,46.23,0.0,0.0,,
NV-GOV,governor,NV,GOV,1039067,536941,502126,0,0,51.68,48.32,0.0,0.0,,
NY-GOV,governor,NY,GOV,5813499,3318821,2494677,0,0,57.09,42.91,0.0,0.0,,
OH-GOV,governor,OH,GOV,4035512,1940663,2094849,0,0,48.09,51.91,0.0,0.0,,
OK-GOV,governor,OK,GOV,1096222,379742,716480,0,0,34.64,65.36,0.0,0.0,,
OR-GOV,governor,OR,GOV,1571774,836541,735233,0,0,53.22,46.78,0.0,0.0,,
PA-GOV,governor,PA,GOV,4923617,2880011,2043607,0,0,58.49,41.51,0.0,0.0,,
RI-GOV,governor,RI,GOV,359348,216881,142467,0,0,60.35,39.65,0.0,0.0,,
SC-GOV,governor,SC,GOV,1783698,788535,995163,0,0,44.21,55.79,0.0,0.0,,
SD-GOV,governor,SD,GOV,298473,111020,187453,0,0,37.2,62.8,0.0,0.0,,
