race_code,party,name,fec_id
AK-01,IND,"Hill, Bill",H6AK01092
AZ-03,GRN,David Redkey,H6AZ01322
AZ-06,GRN,Gary Swing,H6AZ06164
CO-01,Unity,Critter Milton,
CO-01,IND,Shimon Blau,H6CO01356
CO-03,IND,Clifton Brown,
CO-05,CON,Christopher Mitchell,H4CO05071
CO-06,Unity,Meredith Ryan,
CO-06,LIB,Patty McMahon,
CO-07,LIB,"Dan ""Kilo"" Sallis",
CO-07,CON,Lawrence Kyle Clark,
CO-07,Unity,Susan Hall,
CO-SEN,Unity,Adam Withrow,S6CO00564
CO-SEN,LIB,Blake Huber,
CO-SEN,Approval Voting,Christopher Baum,
FL-04,IND,Todd Schaefer,H4FL04068
FL-06,LIB,Andrew Parrott,
HI-01,IND,Nathan M. Berning,H6HI01386
IA-02,LIB,Rick Stewart,
ID-01,CON,Brendan J. Gomez,H4ID01149
ID-02,IND,Emre Houser,H6ID02282
ID-02,LIB,Will Johanson,
ID-SEN,LIB,Matt Loesby,
ID-SEN,IND,Natalie M Fleming,S0ID00172
IL-04,Working Class,Ed Hershey,H2IL04178
KY-05,IND,Gerardo Serrano,H2KY05185
KY-06,IND,Jay J Bowman,
LA-02,IND,"Renada ""Honey"" Collins",
LA-02,IND,"Walter ""Rocky"" Beach",
MA-SEN,Party for Socialism and Liberation,Joseph Tache,S6MA00288
MA-SEN,IND,Morgan Dawicki,S6MA00262
MA-SEN,American Independent Party,Philip Devincentis,S6MA00247
MI-01,U.S. Taxpayers,Doc Kovaly,
MI-01,GRN,LaVeta Davenport,
MI-01,Working Class,Liz Hakola,
MI-01,IND,Zebulon Featherly,H6MI01275
MI-02,Natural Law,Richard Sills,
MI-05,LIB,Ronald A Muszynski,H6MI05235
MI-05,U.S. Taxpayers,Sharon Marie Renier,
MI-06,Working Class,Linda Rayburn,
MI-06,U.S. Taxpayers,Mike Mickevicius,H6MI06241
MI-06,LIB,Timothy A. Teagan,
MI-08,GRN,Jim Casha,
MI-08,Working Class,Kathy Goodwin,
MI-09,Working Class,Jim Walkowicz,
MI-09,U.S. Taxpayers,John Vlahos,
MI-09,LIB,Kevin Vayko,
MI-10,Working Class,Andrea L. Kirby,
MI-10,LIB,Mike Saliba,
