state,cousub_fips,town_name,county_fips,cd_code,votes_dem,votes_rep,votes_total,pres16_dem,pres16_rep,pres20_dem,pres20_rep,pop_tot,vap_tot,vap_white,vap_black,vap_hisp,vap_asian,vap_native,vap_pacific
CT,0900104720,Bethel town,09001,CT-05,5977,4950,11104,4777,4575,6270,4734,20358,15901,11801,412,1715,913,15,0
CT,0900108070,Bridgeport town,09001,CT-04,26992,9707,37120,32035,6596,33515,8269,148654,113716,21983,37393,44748,3243,170,23
CT,0900108980,Brookfield town,09001,CT-05,5029,5458,10661,4216,4973,5426,5226,17528,13824,11279,227,936,706,5,3
CT,0900118500,Danbury town,09001,CT-05,16318,13971,30704,16084,11626,18869,12788,86518,68248,32880,4452,20168,4308,58,25
CT,0900118850,Darien town,09001,CT-04,6988,4732,11919,5942,4625,7876,4921,21499,14668,12506,112,797,821,13,4
CT,0900123890,Easton town,09001,CT-04,2627,2141,4869,2203,2131,2777,2178,7605,5790,4989,80,289,251,2,1
CT,0900126620,Fairfield town,09001,CT-04,21494,12696,34813,18041,12112,22861,12052,61512,47703,39775,860,3406,2154,14,3
CT,0900133620,Greenwich town,09001,CT-04,19603,14122,34184,17630,12215,22243,13269,63518,47939,35737,906,5654,3576,26,13
CT,0900148620,Monroe town,09001,CT-04,5346,5961,11482,4520,5922,5838,5989,18825,14549,12374,293,975,477,20,0
CT,0900150580,New Canaan town,09001,CT-04,6644,5023,11908,5767,4541,7298,4855,20622,14574,12518,160,685,809,6,4
CT,0900150860,New Fairfield town,09001,CT-05,3653,4485,8245,3071,4302,4101,4343,13579,10729,9314,111,765,207,8,3
CT,0900152980,Newtown town,09001,CT-05,9316,7624,17265,7448,7154,9695,7292,27173,21295,18360,498,1184,583,12,9
CT,0900156060,Norwalk town,09001,CT-04,26526,14586,41713,24414,12324,29382,13311,91184,72682,38163,8760,19680,3900,77,11
CT,0900163480,Redding town,09001,CT-04,3619,1948,5684,3127,2088,3829,2052,8765,6918,6166,55,287,191,11,2
CT,0900163970,Ridgefield town,09001,CT-04,9704,5520,15474,7907,5680,10278,5689,25033,18659,16081,181,932,890,15,3
CT,0900168170,Shelton town,09001,CT-03,7085,8947,16253,5455,7407,7402,7946,27871,23248,18084,1115,2165,1161,12,6
CT,0900168170,Shelton town,09001,CT-04,3197,4038,7335,2546,4644,3435,4801,12998,10491,9092,220,634,268,4,3
CT,0900168310,Sherman town,09001,CT-05,1212,1008,2254,976,1065,1234,1076,3527,2925,2674,24,102,32,0,0
CT,0900173070,Stamford town,09001,CT-04,35570,20370,56852,34148,16222,40437,18242,135470,108715,55873,12819,27527,9252,96,17
CT,0900174190,Stratford town,09001,CT-03,15708,10812,26832,13729,10534,17363,10516,52355,41976,24771,6895,7644,1059,32,11
CT,0900177200,Trumbull town,09001,CT-04,11294,10202,21899,9299,9753,11919,9175,36827,27767,21769,1148,2237,1728,21,1
CT,0900183430,Weston town,09001,CT-04,4294,1797,6205,3807,1633,4733,1680,10354,7470,6300,105,375,409,1,2
CT,0900183500,Westport town,09001,CT-04,11769,4476,16480,10655,4169,13048,4222,27141,19943,16800,267,1009,1245,10,0
CT,0900186370,Wilton town,09001,CT-04,7054,3689,10950,6055,3786,7676,3819,18503,13440,11177,151,579,1086,2,4
